Product,Tier,Quantity Range,EXW Price (RMB/unit)
TWS Bluetooth Earbuds Pro X3,Tier 1,100-499,65.00
TWS Bluetooth Earbuds Pro X3,Tier 2,500-1999,59.00
TWS Bluetooth Earbuds Pro X3,Tier 3,2000-4999,54.00
TWS Bluetooth Earbuds Pro X3,Tier 4,5000+,50.00
Phone Case SM-IP15-PRO,Tier 1,500-1999,8.50
Phone Case SM-IP15-PRO,Tier 2,2000-9999,7.00
Phone Case SM-IP15-PRO,Tier 3,10000+,5.80
Screen Protector CV-TG-15P (2-pack),Tier 1,1000-4999,4.20
Screen Protector CV-TG-15P (2-pack),Tier 2,5000-19999,3.50
Screen Protector CV-TG-15P (2-pack),Tier 3,20000+,2.90
