Item,Value
Company Name,Hebei Yongfeng Plastics Co. Ltd.
Product Name,TPE Yoga Mat 6mm Economy Edition
Brand,Yongfeng
Model,YF-YG-06
Material,TPE mixed material (contains 30% PVC reinforcement)
Dimensions,183cm x 61cm x 6mm
Weight,1.4kg
Colors,Purple/Blue/Pink
Tier 1 Quantity,300-999
Tier 1 Unit Price (RMB),28.00
Tier 2 Quantity,1000-4999
Tier 2 Unit Price (RMB),25.00
Tier 3 Quantity,5000-19999
Tier 3 Unit Price (RMB),22.00
Tier 4 Quantity,20000+
Tier 4 Unit Price (RMB),19.50
Minimum Order Quantity,300
Lead Time 300-1000,20 days
Lead Time 1001-5000,30 days
Lead Time 5001-20000,45 days
Notes,Price excludes shipping; shipping approx 1.5 RMB/piece; no SGS report
Custom Logo,Supported; minimum 1000 pieces
