Model,Capacity,Tier,Quantity Range,EXW Price (RMB/piece)
TK-350,350ml,Tier 1,100-499,15.00
TK-350,350ml,Tier 2,500-1999,13.50
TK-350,350ml,Tier 3,2000-9999,12.00
TK-350,350ml,Tier 4,10000+,11.00
TK-500,500ml,Tier 1,100-499,19.00
TK-500,500ml,Tier 2,500-1999,17.00
TK-500,500ml,Tier 3,2000-9999,15.50
TK-500,500ml,Tier 4,10000+,14.00
TK-750,750ml,Tier 1,300-999,25.00
TK-750,750ml,Tier 2,1000-4999,22.00
TK-750,750ml,Tier 3,5000-19999,19.50
TK-750,750ml,Tier 4,20000+,17.50
TK-1000,1000ml,Tier 1,100-499,32.00
TK-1000,1000ml,Tier 2,500-1999,29.00
TK-1000,1000ml,Tier 3,2000-9999,26.50
TK-1000,1000ml,Tier 4,10000+,24.00
