Item,Value
Company Name,Foshan Xinyuan Sports Goods Co. Ltd.
Product Name,Premium TPE Yoga Mat 6mm Custom Edition
Brand,XinYoga
Model,XY-TPE-PRO6
Material,100% TPE (SGS certified; no PVC; no latex)
Dimensions,183cm x 61cm x 6mm
Weight,1.2kg
Colors,Customizable; Pantone sampling available
Rolled Diameter,Approx 15cm
Tier 1 Quantity,100-499
Tier 1 Unit Price (RMB),52.00
Tier 2 Quantity,500-1999
Tier 2 Unit Price (RMB),46.00
Tier 3 Quantity,2000-4999
Tier 3 Unit Price (RMB),42.00
Tier 4 Quantity,5000+
Tier 4 Unit Price (RMB),38.00
Minimum Order Quantity,100
Lead Time 100-500,15 days
Lead Time 501-2000,25 days
Lead Time 2001-5000,35 days
Notes,Prices include domestic shipping to Shanghai port; carrying strap and tote bag included
Custom Logo,Supported; no MOQ; no plate fee
SGS Report,Available on request
