Product,Tier,Quantity Range,EXW Price (RMB/unit)
NovaCast P5 Pro Projector,Tier 1,50-199,580.00
NovaCast P5 Pro Projector,Tier 2,200-499,520.00
NovaCast P5 Pro Projector,Tier 3,500-999,470.00
NovaCast P5 Pro Projector,Tier 4,1000+,430.00
NovaCast Tripod Stand TS-20,Tier 1,100-499,85.00
NovaCast Tripod Stand TS-20,Tier 2,500-1999,72.00
NovaCast Tripod Stand TS-20,Tier 3,2000+,60.00
NovaCast Carrying Case CC-P5,Tier 1,200-999,45.00
NovaCast Carrying Case CC-P5,Tier 2,1000-4999,38.00
NovaCast Carrying Case CC-P5,Tier 3,5000+,32.00
NovaCast Screen 100" SS-100,Tier 1,50-199,220.00
NovaCast Screen 100" SS-100,Tier 2,200-499,190.00
NovaCast Screen 100" SS-100,Tier 3,500+,165.00
