trade_id,goods_id,goods_name,num,pay_amount,created_at,status,user_id
PDD20260601001,10086001,水润精华乳50ml,2,198.00,20260601,4,pdd_u_50012
PDD20260601002,10086002,焕颜亮肤霜30g,1,139.00,20260602,4,pdd_u_50034
PDD20260601003,10086003,修护眼霜15ml,1,218.00,20260603,4,pdd_u_50056
PDD20260601004,10086004,清透防晒乳40ml,3,207.00,20260604,4,pdd_u_50078
PDD20260601005,10086005,温和卸妆水200ml,2,90.00,20260605,4,pdd_u_50091
PDD20260601006,10086001,水润精华乳50ml,1,99.00,20260607,5,pdd_u_50103
PDD20260601007,10086002,焕颜亮肤霜30g,2,278.00,20260608,4,pdd_u_50112
PDD20260601008,10086003,修护眼霜15ml,1,218.00,20260610,4,pdd_u_50128
PDD20260601009,10086004,清透防晒乳40ml,1,69.00,20260611,4,pdd_u_50134
PDD20260601010,10086005,温和卸妆水200ml,4,180.00,20260612,4,pdd_u_50147
PDD20260601011,10086001,水润精华乳50ml,1,99.00,20260613,4,pdd_u_50156
PDD20260601012,10086002,焕颜亮肤霜30g,1,139.00,20260615,6,pdd_u_50162
PDD20260601013,10086003,修护眼霜15ml,1,218.00,20260616,4,pdd_u_50178
PDD20260601003,10086003,修护眼霜15ml,1,218.00,20260603,4,pdd_u_50056
PDD20260601014,10086004,清透防晒乳40ml,2,138.00,20260618,5,pdd_u_50185
PDD20260601015,10086005,温和卸妆水200ml,1,45.00,20260619,4,pdd_u_50192
PDD20260601016,10086001,水润精华乳50ml,2,198.00,20260620,4,pdd_u_50201
PDD20260601017,10086002,焕颜亮肤霜30g,1,139.00,20260622,4,pdd_u_50215
PDD20260601018,10086004,清透防晒乳40ml,1,69.00,20260624,4,pdd_u_50223
PDD20260601019,10086005,温和卸妆水200ml,2,90.00,20260626,5,pdd_u_50234
PDD20260601010,10086005,温和卸妆水200ml,4,180.00,20260612,4,pdd_u_50147
PDD20260601020,10086003,修护眼霜15ml,2,436.00,20260628,6,pdd_u_50245
