订单编号,商品编码,商品名称,数量,实付金额,下单时间,订单状态,买家ID
TM-20260601-001,tmall_lc_hem01,水润精华乳50ml,2,256.00,2026-06-01 09:23:15,已完成,tb_user_8812
TM-20260601-002,tmall_lc_brc02,焕颜亮肤霜30g,1,168.00,2026-06-01 14:05:33,已完成,tb_user_7234
TM-20260601-003,tmall_lc_rec03,修护眼霜15ml,1,258.00,2026-06-02 10:17:42,已完成,tb_user_5591
TM-20260601-004,tmall_lc_uvs04,清透防晒乳40ml,3,267.00,2026-06-02 16:38:21,已完成,tb_user_3307
TM-20260601-005,tmall_lc_gcw05,温和卸妆水200ml,2,118.00,2026-06-03 08:45:09,已完成,tb_user_4428
TM-20260601-006,tmall_lc_hem01,水润精华乳50ml,1,128.00,2026-06-03 11:22:56,已取消,tb_user_6650
TM-20260601-007,tmall_lc_brc02,焕颜亮肤霜30g,2,336.00,2026-06-04 13:10:44,已完成,tb_user_1123
TM-20260601-008,tmall_lc_rec03,修护眼霜15ml,1,258.00,2026-06-05 09:55:18,已完成,tb_user_9901
TM-20260601-009,tmall_lc_uvs04,清透防晒乳40ml,1,89.00,2026-06-05 15:32:07,已完成,tb_user_2245
TM-20260601-010,tmall_lc_gcw05,温和卸妆水200ml,4,236.00,2026-06-06 10:48:33,已完成,tb_user_7789
TM-20260601-011,tmall_lc_hem01,水润精华乳50ml,1,128.00,2026-06-07 08:15:22,已完成,tb_user_3356
TM-20260601-012,tmall_lc_brc02,焕颜亮肤霜30g,1,168.00,2026-06-08 14:27:51,退款完成,tb_user_5502
TM-20260601-013,tmall_lc_rec03,修护眼霜15ml,2,516.00,2026-06-09 11:33:16,已完成,tb_user_8877
TM-20260601-014,tmall_lc_uvs04,清透防晒乳40ml,2,178.00,2026-06-10 09:42:08,已完成,tb_user_4419
TM-20260601-015,tmall_lc_gcw05,温和卸妆水200ml,1,59.00,2026-06-10 16:55:43,已完成,tb_user_6638
TM-20260601-016,tmall_lc_hm01,水润精华乳50ml,1,128.00,2026-06-11 10:18:29,已完成,tb_user_2201
TM-20260601-017,tmall_lc_brc02,焕颜亮肤霜30g,3,504.00,2026-06-12 13:44:55,已完成,tb_user_9912
TM-20260601-018,tmall_lc_rec03,修护眼霜15ml,1,258.00,2026-06-13 08:09:37,已取消,tb_user_1178
TM-20260601-019,tmall_lc_uvs04,清透防晒乳40ml,2,178.00,2026-06-14 15:21:44,已完成,tb_user_5567
TM-20260601-020,tmall_lc_gcw05,温和卸妆水200ml,3,177.00,2026-06-15 10:36:12,已完成,tb_user_8834
TM-20260601-021,tmall_lc_hem01,水润精华乳50ml,2,256.00,2026-06-16 09:08:55,已完成,tb_user_3345
TM-20260601-022,tmall_lc_brc02,焕颜亮肤霜30g,1,168.00,2026-06-17 14:52:31,已完成,tb_user_7712
TM-20260601-023,tmall_lc_rec03,修护眼霜15ml,1,258.00,2026-06-18 11:15:48,已完成,tb_user_2289
TM-20260601-024,tmall_lc_uvs04,清透防晒乳40ml,1,89.00,2026-06-19 16:43:22,退款完成,tb_user_6654
TM-20260601-025,tmall_lc_gcw05,温和卸妆水200ml,2,118.00,2026-06-20 08:30:17,已完成,tb_user_4401
TM-20260601-026,tmall_lc_hem01,水润精华乳50ml,1,128.00,2026-06-21 12:57:39,已完成,tb_user_1190
TM-20260601-027,tmall_lc_brc02,焕颜亮肤霜30g,2,336.00,2026-06-22 09:24:56,已完成,tb_user_5578
TM-20260601-028,tmall_lc_rec03,修护眼霜15ml,1,258.00,2026-06-23 15:08:14,已取消,tb_user_8845
TM-20260601-029,tmall_lc_uvs04,清透防晒乳40ml,3,267.00,2026-06-25 10:33:27,已完成,tb_user_3323
TM-20260601-030,tmall_lc_gcw05,温和卸妆水200ml,1,59.00,2026-06-28 14:16:42,已完成,tb_user_7756
