shipment_id,platform,platform_order_id,internal_sku,qty_shipped,ship_date,tracking_no,carrier
SHP-0001,tmall,TM-20260601-001,LC-HEM-01,2,2026-06-02,YT9100001,YTO Express
SHP-0002,tmall,TM-20260601-002,LC-BRC-02,1,2026-06-02,YT9100002,YTO Express
SHP-0044,pdd,PDD20260601001,LC-HEM-01,2,2026-06-02,ST3800044,STO Express
SHP-0003,tmall,TM-20260601-003,LC-REC-03,1,2026-06-03,YT9100003,YTO Express
SHP-0004,tmall,TM-20260601-004,LC-UVS-04,3,2026-06-03,SF7200004,SF Express
SHP-0025,jd,JD-2026060101,LC-HEM-01,1,2026-06-03,JDV6300025,JD Logistics
SHP-0026,jd,JD-2026060102,LC-BRC-02,2,2026-06-03,JDV6300026,JD Logistics
SHP-0045,pdd,PDD20260601002,LC-BRC-02,1,2026-06-03,ST3800045,STO Express
SHP-0005,tmall,TM-20260601-005,LC-GCW-05,2,2026-06-04,YT9100005,YTO Express
SHP-0027,jd,JD-2026060103,LC-REC-03,1,2026-06-04,JDV6300027,JD Logistics
SHP-0046,pdd,PDD20260601003,LC-REC-03,1,2026-06-04,ST3800046,STO Express
SHP-0006,tmall,TM-20260601-007,LC-BRC-02,2,2026-06-05,YT9100006,YTO Express
SHP-0028,jd,JD-2026060104,LC-UVS-04,2,2026-06-05,JDV6300028,JD Logistics
SHP-0047,pdd,PDD20260601004,LC-UVS-04,4,2026-06-05,ZT4500047,ZTO Express
SHP-0007,tmall,TM-20260601-008,LC-REC-03,1,2026-06-06,YT9100007,YTO Express
SHP-0008,tmall,TM-20260601-009,LC-UVS-04,1,2026-06-06,YT9100008,YTO Express
SHP-0029,jd,JD-2026060105,LC-GCW-05,3,2026-06-06,JDV6300029,JD Logistics
SHP-0048,pdd,PDD20260601005,LC-GCW-05,2,2026-06-06,ST3800048,STO Express
SHP-0009,tmall,TM-20260601-010,LC-GCW-05,4,2026-06-07,SF7200009,SF Express
SHP-0030,jd,JD-2026060106,LC-HEM-01,2,2026-06-07,JDV6300030,JD Logistics
SHP-0010,tmall,TM-20260601-011,LC-HEM-01,1,2026-06-08,YT9100010,YTO Express
SHP-0031,jd,JD-2026060108,LC-REC-03,1,2026-06-09,JDV6300031,JD Logistics
SHP-0049,pdd,PDD20260601007,LC-BRC-02,2,2026-06-09,ST3800049,STO Express
SHP-0011,tmall,TM-20260601-013,LC-REC-03,1,2026-06-10,YT9100011,YTO Express
SHP-0032,jd,JD-2026060109,LC-UVS-04,1,2026-06-10,JDV6300032,JD Logistics
SHP-0012,tmall,TM-20260601-014,LC-UVS-04,2,2026-06-11,YT9100012,YTO Express
SHP-0013,tmall,TM-20260601-015,LC-GCW-05,1,2026-06-11,YT9100013,YTO Express
SHP-0033,jd,JD-2026060110,LC-GCW-05,2,2026-06-11,JDV6300033,JD Logistics
SHP-0050,pdd,PDD20260601008,LC-REC-03,1,2026-06-11,ST3800050,STO Express
SHP-0014,tmall,TM-20260601-016,LC-HEM-01,1,2026-06-12,YT9100014,YTO Express
SHP-0051,pdd,PDD20260601009,LC-UVS-04,1,2026-06-12,ST3800051,STO Express
SHP-0015,tmall,TM-20260601-017,LC-BRC-02,3,2026-06-13,SF7200015,SF Express
SHP-0034,jd,JD-2026060112,LC-BRC-02,1,2026-06-13,JDV6300034,JD Logistics
SHP-0052,pdd,PDD20260601010,LC-GCW-05,4,2026-06-13,ZT4500052,ZTO Express
SHP-0035,jd,JD-2026060113,LC-REC-03,2,2026-06-14,JDV6300035,JD Logistics
SHP-0053,pdd,PDD20260601011,LC-HEM-01,1,2026-06-14,ST3800053,STO Express
SHP-0016,tmall,TM-20260601-019,LC-UVS-04,2,2026-06-15,YT9100016,YTO Express
