date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2026-01-09,美国,中国,CBA IMPORTING LLC,DONGYING XINXING MARINE EQUIPMENT,27 CLERMONT DRIVE CAPE MAY COURT H OUSE NJ 08210 ,MANUFACTURE CO LTD NIUZHUANG INDU STRIAL ZONE DONGYING CHINA ,CBA IMPORTING LLC,27 CLERMONT DRIVE CAPE MAY COURT H OUSE NJ 08210 ,,"CN, CHINA",,QINGDAO,"NEW YORK,NY",720421,STAINLESS STEEL ROD POST STAINLESS STEEL BARREL BOLT,STAINLESS STEEL ROD POST AND PART PALLET 4 1 2 3 4,40.0,PKG,3000.0,0.0,OSTIQDNYC25B0292,OOCU7040789,
2026-01-09,美国,中国,AMD MEDICOM INC,DONGYING JOFO FILTRATION TECHNOLOGY CO LTD,400 STINSON , NO 160 XUAN ZHOU ROAD DONGYING ,AMD MEDICOM INC,400 STINSON ,,"CN, CHINA",,QINGDAO,"SEATTLE,WA",701931,MELTBLOWN NONWOVEN FABRIC PO,NO MARKS,117.0,ROL,2868.0,0.0,CULOCUSE25120195,CLHU3072665,
2025-12-24,印度,中国,INTERNATIONAL PACKAGING PRODUCTS PRIVATE LIMITED,DONGYING JOFO FILTRATION TECHNOLOGY CO LTD,"UNIT NO. 602 6TH FLOOR, ANTRIKSH,  THAKOOR HOUSE, SITUATED AT CTS NO. ","NO.160 XUANZHOU ROAD, DONGYING SHANDONG, SDNF CHINA",,,,China (CN),,Qingdao,NHAVA SHEVA SEA (INNSA1),56031200,"PP NONWOVEN FABRIC (SPUNBOND) (47G/M2, GREY H39U, 3.30MX4200M)PP NONWOVEN FABRIC (SPUNBOND) (47G/M2, GREY H39U, 3.30MX4200",,23016.84,KGS,0.0,51557.72,,,
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011100009,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 275/30ZR19 ATREZZO ZSR2 96Y XL, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 275/30ZR19 ATREZZO ZSR2 96Y XL",,2.0,ШТ,22.8,78.86,,,SAILUN
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011100009,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 235/45ZR19 ATREZZO ZSR SUV 99Y XL, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 235/45ZR19 ATREZZO ZSR SUV 99Y XL",,1.0,ШТ,12.12,43.4,,,SAILUN
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011100009,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 205/50R17 ATREZZO ZSR2 93W XL, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 205/50R17 ATREZZO ZSR2 93W XL",,120.0,ШТ,1113.6,3482.4,,,SAILUN
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011100009,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 275/40R22 ATREZZO ZSR SUV 108Y XL, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 275/40R22 ATREZZO ZSR SUV 108Y XL",,13.0,ШТ,200.85,740.09,,,SAILUN
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011100003,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 225/70R16 TURISMO SV57 103T, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 225/70R16 TURISMO SV57 103T",,60.0,ШТ,760.2,2482.2,,,SAILUN
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011100003,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 205/70R15 TURISMO SV57 96H, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 205/70R15 TURISMO SV57 96H",,28.0,ШТ,299.6,875.84,,,SAILUN
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011100009,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 225/55ZR17 ATREZZO ZSR2 101W XL, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 225/55ZR17 ATREZZO ZSR2 101W XL",,300.0,ШТ,3309.0,10230.0,,,SAILUN
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011201000,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОГРУЗОВЫХ АВТОМОБИЛЕЙ 7.00R16LT EXTMILE SL16 115/111Q 12PR СВЕДЕНИЯ О  ПРОИЗВОДИТЕЛЕ ШИНЫ ИЛИ ПОКРЫШКИ - SAILUN (DONGYING) TIRE. CO., LTD ПОСАДОЧНЫЙ ДИАМЕТР ШИНЫ ИЛИ  ПОКРЫШКИ - 16 ОБОЗНАЧЕНИЕ КАТЕГОРИИ СКОРОСТИ ШИНЫ ИЛИ ПОКРЫШКИ -  Q ИНДЕКС НАГРУЗКИ ШИНЫ ИЛИ  ПОКРЫШКИ - 115/111, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОГРУЗОВЫХ АВТОМОБИЛЕЙ 7.00R16LT EXTMILE SL16 115/111Q 12PR",,200.0,ШТ,3588.0,10222.0,,,SAILUN
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011100009,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 225/40ZR18 ATREZZO ZSR2 92Y XL, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 225/40ZR18 ATREZZO ZSR2 92Y XL",,150.0,ШТ,1441.5,4696.5,,,SAILUN
2025-12-23,哈萨克斯坦,中国,ТОО ЭЙКОС,SAILUN GROUP CO LIMITED,КАЗАХСТАН Г.СЕМЕЙ УЛ. КУТЖАНОВА 23,КИТАЙ QINGDAO ECONOMIC AND TECHNOLOGICAL DEVELOPMENT ZONE NO.588 MAOSHAN ROAD,,,"SAILUN (DONGYING) TIRE. CO., LTD",China,Kazakhstan,,,4011100009,"1. ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 255/55ZR20 ATREZZO ZSR SUV 110Y XL, ШИНЫ НОВЫЕ, ДЛЯ ЛЕГКОВЫХ АВТОМОБИЛЕЙ 255/55ZR20 ATREZZO ZSR SUV 110Y XL",,1.0,ШТ,15.53,54.22,,,SAILUN
