date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2026-01-25,秘鲁,中国,GRUPO INDUSTRIAL SOUTH PACIFIC S A C,NINGBO ZHONGRUI IMPORT & EXPORT CO LTD,,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,NINGBO LISHE INTERNATIONAL APT,,8507600000,"BATERIA DE 4 AMP , NEO NEXT, B20-4/1N BATERIA DE 4 AMP LAS LLAVES DE IMPACTO INALAMBRICAS SONHERRAMIENTAS ELECTRICAS PORTATILES, ALIMENTADAS POR BATTERY PACK",,100.0,PIECES,88.47,1188.0,,,
2026-01-20,厄瓜多尔,中国,MEGAPROFER S A,ENTAL TECHNOLOGY CO PTE LTD,,,,,,CHINA,,,,8507600099,LITHIUM ION BATTERY PACK,,408.0,PZA,265.2,5986.037,,,EMTOP
2026-01-20,厄瓜多尔,中国,MEGAPROFER S A,ENTAL TECHNOLOGY CO PTE LTD,,,,,,CHINA,,,,8507600099,LITHIUM ION BATTERY PACK,,500.0,PZA,185.0,4509.731,,,EMTOP
2026-01-15,秘鲁,中国,HYTERA MOBILFUNK GMBH SUCURSAL DEL PERU,HYTERA COMMUNICATIONS CORPORATION LIMITED,AV. BENAVIDES NRO. 1238 INT. 401,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,Hong Kong,,8507600000,"BATERIA INTELIGENTE, HYTERA, BP4005 DE POLIMERO DE LITIO PARA PDC680 [4000 MAH] BP4005 7,7 V HYTERA LOGO IP68 CON NFC [INGLES] PARA INDUSTRIA DE TELECOMUNICACIONES PDC680 SMART LI-POLY BATTERY PACK[4000MAH]BP4005 7.7V HYTERA LOGO IP68 WITH NFC ENGLISH",,460.0,PIECES,72.8,35595.3,,,
2026-01-15,秘鲁,中国,HYTERA MOBILFUNK GMBH SUCURSAL DEL PERU,HYTERA COMMUNICATIONS CORPORATION LIMITED,AV. BENAVIDES NRO. 1238 INT. 401,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,Hong Kong,,8507600000,"BATERIA DE IONES DE LITIO, HYTERA, BL1813-EX INTRINSECAMENTE SEGURA [1800 MAH] BL1813-EX 7,4 V HYTERA LOGO IP67 [ROHS] [REACH] PARA PT7 PARA INDUSTRIA DE TELECOMUNICACIONES PT790EX IA INTRINSICALLY SAFE LI-ION BATTERY PACK[1800MAH] BL1813-EX 7.4V HYTERA LOGO IP67",,100.0,PIECES,28.7,14030.64,,,
2026-01-12,厄瓜多尔,中国,SISTEMAS EMBEBIDOS AVANZADOS SIEMAV S A,ZAOZHUANG EVLITHIUM ELECTRONIC TECHNOLOGY CO LTD,,,,,,CHINA,,,,8507600099,51.2V 100AH BATTERY PACK,,10.0,U,427.0,5560.66,,,SIN MARCA
2026-01-06,秘鲁,中国香港,QUE TAL COMPRA DEL PERU S A C,XIAOMI H K LIMITED,CAL. CHICLAYO NRO. 562 URB. LIMA,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,SHEKOU PT,,8507600000,"PIEZAS DE POSVENTA - PAQUETE DE BATERIAS - NORESTE DE EUROPA, DREAME, G10 PRO PIEZAS DE POSVENTA - PAQUETE DE BATERIAS - NORESTE DE EUROPA AFTER-SALES PARTS-BATTERY PACK-NORTHEAST EUROPEAN",,1.0,UNITS,4.0,44.4,,,
2025-12-29,孟加拉国,中国,R AND D TRADE INTERNATIONAL,ZHANGJIAGANG LONGHAOYI TRADING CO LTD,83/187; Hazi Badsha Mia Road;,,,,,CN,,,,85076000,LITHIUM ION BATTERY PACK,,324.0,,25401.6,68840.0,,,
2025-12-26,哈萨克斯坦,中国,ТОО GOOD TOOLS KZ,SHANGHAI DATECH IMP &EXP ENTERPRISES CO LTD,"КАЗАХСТАН Г.АЛМАТЫ МИКРОРАЙОН ТАУСАМАЛЫ, УЛИЦА ГЕРОЛЬД БЕЛЬГЕР ДОМ56","КИТАЙ SHANGHAI PUDONG NEW AREA, HUANQIAO ROAD, LANE555,NO31",,,"SATA AUTOMOTIVE TECHNOLOGY (SHANGHAI) CO., LTD",China,Kazakhstan,,,8507600000,"1. 51505.ЗАРЯДНОЕ УСТРОЙСТВО 12-18V, J SERIES 12-18V LI-ION BATTERY PACK CHAR",,1.0,ШТ,0.75,32.79,,,SATA
2025-12-25,菲律宾,中国台湾,AMERICAN POWER CONVERSION CORPORATI,STL TECHNOLOGY CO LTD,"ON  A.P.C. B.V. LOT 1 BLOCK 5,PHASE2, CAVITE ECONOMIC ZONE, ROSARIOCAVITE 4106PHILIPPINES",,,,,TAIWAN,,,,85076090000,LITHIUM-ION BATTERY PACK - 1440 PIECES,,1440.0,UNKNOWN,8352.0,341578.2298,SH2KHHMNL25C003,,
