date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2024-12-30,哈萨克斯坦,中国,ТОО LIFE MEDICAL SOLUTIONS,SHENZHEN BROWINER TECH CO LTD,"АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН ПР.СЕЙФУЛЛИНА 404/67","SHENZHEN 518055 INTELLIGENT INDUST.PARK, NO.1008",,,"SHENZHEN BROWINER TECH CO., LTD",China,Kazakhstan,,,9022140000,МОБИЛЬНАЯ ЦИФРОВАЯ РЕНТГЕНОГРАФИЧЕСКАЯ СИСТЕМА MOBILE COOPER,,2.0,ШТ,250.0,58593.94,,,MOBILE COOPER
2024-12-30,俄罗斯,中国,ООО ЛОГИСТ,ORICH MEDICAL EQUIPMENT TIANJIN CO LTD,"248000, КАЛУЖСКАЯ ОБЛ., Г. КАЛУГА, УЛ. ПЕРВОМАЙСКАЯ, Д. 37, ОФИС 1,","301726, TIANJIN ECONOMIC TECHOLOGICAL DEVELOPMENT AREA, TIANJIN, NO. 16 CUIMING.",,,"ОРИИЧ МЕДИКАЛ ЭКВИПМЕНТ (ТЯНЖДИН) КО., ЛТД.",China,РОССИЯ,,,9022140000,"АППАРАТУРА НА ОСНОВЕ РЕНТГЕНОВСКОГО ИЗЛУЧЕНИЯ ДЛЯ МЕДИЦИНСКОГО, ИСПОЛЬЗОВАНИЯ. АППАРАТ РЕНТГЕНОВСКИЙ , ДЛЯ БАЗОВЫХ И ДИАГНОСТИЧЕСКИX ИССЛЕДОВАНИЙ. НОВЫЙ. БЕЗ ИСТОЧНИКА РАДИАКТИВНОГО ИЗЛУЧЕНИЯ, КОД ОКП: 944220, КОД ОКПД 2 26.60.11.113. ТОВАРНАЯПАРТИЯ",,3.0,ШТ,680.0,37983.23,,,ORICN
2024-12-30,哈萨克斯坦,中国,ТОО MEDIVIDE,SHENZHEN LANMAGE MEDICAL TECHNOLOGY CO LTD,"Г. АЛМАТЫ УЛ.НАВОИ, 68","SHENZHEN, DAPENG NEW DISTRICT BAGUANG SERVICE CENTER NO.2",,,"SHENZHEN LANMAGE MEDICAL TECHNOLOGY CO., LTD",China,Kazakhstan,,,9022140000,"1. ЦИФРОВАЯ РЕНТГЕНОГРАФИЧЕСКАЯ СИСТЕМА 6600,",,1.0,ШТ,864.0,26455.0,,,ОТСУТСТВУЕТ
2024-12-30,哈萨克斯坦,中国,ТОО LIFE MEDICAL SOLUTIONS,SHENZHEN BROWINER TECH CO LTD,"АЛМАТЫ, АЛМАЛИНСКИЙ РАЙОН ПР.СЕЙФУЛЛИНА 404/67","SHENZHEN 518055 INTELLIGENT INDUST.PARK, NO.1008",,,"SHENZHEN BROWINER TECH CO., LTD",China,Kazakhstan,,,9022140000,"МОБИЛЬНАЯ РЕНТГЕНОВСКАЯ СИСТЕМА COMPAX С С-ДУГОЙ В ВАРИАНТАХ ИСПОЛНЕНИЯХ: COMPAX 500C, В КОМПЛЕКТЕ С ПРИНАДЛЕЖНОСТЯМИ",,1.0,ШТ,558.0,34289.53,,,COMPAX С
2024-12-30,印度,中国,SIEMENS HEALTHCARE PRIVATE LIMITED,SIEMENS HEALTHINEERS AG,"130, PANDURANG BUDHKAR MARG,  N/A",,,,,CHINA,,Sunshine,NHAVA SHEVA SEA (INNSA1),90221490,( IMAGE INTENSIFIER SYSTEM COMPLETE WITH ACCESSORIES ( AS PER INV)) CIOS SELECT VA21 II( IMAGE INTENSIFIER SYSTEM COMPLETE WITH ACCESSORIES ( AS PE,,1.0,SET,0.0,41091.02,SC26MD3V3AEYR,,
2024-12-30,巴拉圭,中国,ALTAS TECNOLOGIAS SOCIEDAD ANONIMA,,,,,,,CHINA,,,,90221490,"INSTRUMENTOS Y APARATOS DE OPTICA, DEFOTOGRAFIA O DE CINEMATOGRAFIA, DE MEDIDA, DE CONTROL O DE PRECISION, INSTRUMENTOS Y APARATOS MEDICOQUIRURGICOS, PARTES Y ACCESORIOS DE ESTOSINSTRUMENTOS O APARATOS APARATOS DE RAYOS X Y APARATOS QUE UTILICEN RADIACION",,2.0,,0.0,15000.0,,,ANGELL
2024-12-30,印度,中国,SIEMENS HEALTHCARE PRIVATE LIMITED,SIEMENS HEALTHINEERS AG,"130, PANDURANG BUDHKAR MARG,  N/A",,,,,CHINA,,Shanghai,NHAVA SHEVA SEA (INNSA1),90221490,( IMAGE INTENSIFIER SYSTEM COMPLETE WITH ACCESSORIES (AS PERINV) CIOS SELECT VA21 II( IMAGE INTENSIFIER SYSTEM COMPLETE WITH ACCESSORIES (AS PER,,1.0,SET,0.0,40050.03,B6XD2V8F748Z9,,
2024-12-30,哈萨克斯坦,中国,ТОО НЕОМЕДИКАЛ,ANGELL TECHNOLOGY CHONGQING CO LTD,"АСТАНА Р-Н САРЫАРКА,УЛ.КЕНЕСАРЫ,9-109",CHONGQING THE THIRD FLOOR OF BUILDING 8 AND THE FIRST FLOOR,,,"SHENZHEN ANGELL TECHNOLOGY CO.,LTD.",China,Kazakhstan,,,9022140000,ЦИФРОВАЯ МОБИЛЬНАЯ РЕНТГЕНОГРАФИЧЕСКАЯ СИСТЕМА DP326A-2,,1.0,ШТ,80.0,19848.4,,,
2024-12-29,孟加拉国,中国,PHULHAR AND COMPANY,TRIUP INTERNATIONAL CORP CHINA,,,,,,China,,,,90221400,"300MA X-RAY UNIT, MODEL:TR300A",,20.0,NMB,11000.0,120000.0,,,
2024-12-29,印度,中国,WIPRO GE MEDICAL DEVICE MANUFACTURING PRIVATE LIMI,GE HUALUN MEDICAL SYSTEMS CO LTD,"No.4, Kadugodi Industrial Area, Sadarmangala Whitefield, Bangalore",,,,,CHINA,,Shanghai,Chennai  ,90221490,5521321-4 - SYSTEM GANTRY HLA FOR OPTIMA IGS 320 - INDIA SEMI FINISHED-(PARTS FOR MANUFACTURING OF IGS 320/OPTIMA IGS5521321-4 - SYSTEM GANTRY HLA FOR OPTIMA IGS 320 - INDIA SEM,,1.0,PCS,0.0,86316.37,6PY1JK3KR0GAI,,
