date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2026-01-08,美国,中国,MOTORTECH LLC,DONGYING BAOFENG AUTO PARTS CO LTD,802 WILLOW RUN AIRPORT , SHENGXING ROAD KENLI ECONOMIC DEVELOPMENT ZONE ,MOTORTECH LLC,802 WILLOW RUN AIRPORT ,,"CN, CHINA",,QINGDAO,LONG BEACH,681310,DISC BRAKE PADS/BRAKE SHOES THIS SHIPMENT CONTAINS NO (SOLID) WOOD PACKING MATERIALS.DISC BRAKE PADS/BRAKE SHOES THIS SHIPMENT CONTAINS NO (SOLID) WOOD PACKING MATERIALS.,..,40.0,PKG,29346.0,0.0,UULNQD251203079,"CSNU1002380,TEMU0158537",
2026-01-08,美国,中国,ATECH LLC,DONGYING BAOFENG AUTO PARTS CO LTD,840 W LONG LAKE ROAD SUITE 150 T ROY MI 48098 , NO 66 SHENGXING ROAD KENLI ECONOMICDEVELOPMENT ZONE DONGYING SHANDON G 257500 CHINA ,ATECH LLC,840 W LONG LAKE ROAD SUITE 150 T ROY MI 48098 ,,"CN, CHINA",,QINGDAO,LOS ANGELES,681310,DISC BRAKE PADS & BRAKE SHOESDISC BRAKE PADS,NO MARKSNO MARKS,60.0,PKG,30697.0,0.0,QCAQQOE251220,"YLEU2532237,HHXU3463233",
2026-01-06,美国,中国,MOMENTIVE PERFORMANCE,SHINGHWA AMPEREX TECHNOLOGY DONGYING CO LTD,MATERIALS SISTERSVILLE 10851 ENERGY HWY FRIENDLY WV 26146-7511 USA , NO 198 TONGXING ROAD KENLI DISTRICT DONGYING CITY ,N/A,N/A,,"CN, CHINA",,QINGDAO,"NORFOLK,VA",283650,"------------ STBU DESCRIPTION--------- LIQUID BULK HS CODE: DIMETHYL CARBONATE IMO CLASS: FLAMMABLE UN: DIMETHYL CARBONATE EMS: F-E,S-D MARINE POLLUTANT: NO PACKING GROUP: II FLASH POINT: C REF: STBU : / / CRITICAL HANDLING INFO: KEEP AWAY FROM HEAT SOURCES FREIGHT PAYABLE AT ROTTERDAM USCI + U TAX ID: USCI + U TEL: FAX: PH: + EIN: - USDOCS STOLT.COM SHIPPERS OWNED CONTAINER PSN: DIMETHYL CARBONATE UN NUMBER: - IMDG CLASS: - PG: II - FLASHPOINT: C -------------GENERIC DESCRIPTION-------------SHANDONG PROVINCE, CHINA SHEILA.BROWN MOMENTIVE.COM ATTN: ED BECK / PH: - -",NO MARKS,1.0,TNK,18000.0,0.0,CMDUCN10309585,STBU2636537,
2026-01-02,美国,中国,MOTORTECH LLC,DONGYING BAOFENG AUTO PARTS CO LTD,802 WILLOW RUN AIRPORT YPSILANTI MI 48198 , NO 66 SHENGXING ROAD KENLI ECONOMICDEVELOPMENT ZONE DONGYING SHANDON G 257500 CHINA ,MOTORTECH LLC,802 WILLOW RUN AIRPORT YPSILANTI MI 48198 ,,"CN, CHINA",,QINGDAO,LOS ANGELES,681310,DISC BRAKE PADS & BRAKE SHOESDISC BRAKE PADSDISC BRAKE PADSDISC BRAKE PADSDISC BRAKE PADS &BRAKE SHOESDISC BRAKE PADS,NO MARKSNO MARKSNO MARKSNO MARKSNO MARKSNO MARKS,160.0,PKG,93059.0,0.0,QCAQQOE251215,"YLEU2527518,ZXJU0246279,ZXJU0246258,ZXJU0246263,YLEU2527502,ZXJU0246284",
2025-12-31,巴基斯坦,中国,ESSITY PAKISTAN LIMITED,DONGYING RICH CHEMICAL CO LTD,"A/69, SITE, MANGHOPIR ROAD, PO BOX # 3659, Karachi West",11TH FLOOR  NO.270  NANYI ROAD  DONGYING  SHANDONG  CHINA,,,,China,,Qingdao,KAPS,29031200,METHYLENE CHLORIDE LOT NO. 202511 MANUFACTURING DATE: 21/11/2025 EXPIRY DATE: 20/11/2027 (QTY: 21600 KGS),,21600.0,KG,21600.0,20407.511,799510732081,,
2025-12-30,巴基斯坦,中国,FAMSA POLYMERS INDUSTRY PRIVATE LIMITED,DONGYING TIANCHEN INTERNATIONAL TRADE CO LTD,"PLOT NO. 260-269, BLOCK-E, M. KHAN COLONY, ITTEHAD TOWN, NEAR LAST STOP OF ILYAS COACH AND ITTEHAD CARTAGE INDUSTRY ASSOCIATION, KARACHI., Karachi West Baldia Town",2# BUILDING  HUDONG DISTRICT  DAOZHUANG GUANGRAO  DONGYING CITY  SHANDONG PROVINCE  257336  CHINA,,,,China,,Qingdao,KAPS,29171900,DIMER ACID HJ-156 (QUALITY Assurance APPRAISER CHANGED THE HS CODE IN THE GD NO: KAPE-HC-1094-04-07-2025),,21000.0,KG,21000.0,33547.4913,799510665433,,
2025-12-30,印度,中国,AQUATIC REMEDIES LIMITED,DONGYING TIANDONG PHARMACEUTICAL CO LTD,,"NO.1236, NAN-ER ROAD DONGYING, SHAN DONG, CHINA SDNF CHINA",,,,China (CN),,CHENGDU,Arshiya International Ltd (INPNV6),29420090,ENOXAPARIN SODIUM EP/BP (LOW MOLECULAR WEIGHT HEPARIN) (LISTNO.2 SR NO.48)ENOXAPARIN SODIUM EP/BP (LOW MOLECULAR WEIGHT HEPARIN) (LIST,,14.0,KGS,0.0,87976.88,,,
2025-12-30,印度,中国,LEO CHEMO PLAST PRIVATE LIMITED,SHINGHWA AMPEREX TECHNOLOGY DONGYING CO LTD,"B/126,GHATKOPAR INDUSTRIAL ESTATE,  L.B.S.MARG,GHATKOPAR(W), ","NO.198, TONGXING ROAD, KENLI DISTRI CT, DONGYING CITY, SHANDONG PROVINC E, CHINA Shandong, , CHINA CHINA",,,,China (CN),,Qingdao,NHAVA SHEVA SEA (INNSA1),29053200,PROPYLENE GLYCOL TECH GRADE PROPYLENE GLYCOL TECH GRADE,,25800.0,KGS,0.0,22704.0,,,
2025-12-29,印度,中国,LEO CHEMO PLAST PRIVATE LIMITED,SHINGHWA AMPEREX TECHNOLOGY DONGYING CO LTD,"B/126,GHATKOPAR INDUSTRIAL ESTATE,  L.B.S.MARG,GHATKOPAR(W), ","NO.198, TONGXING ROAD, KENLI DISTRI CT, DONGYING CITY, SHANDONG PROVINC E, CHINA Shandong, , CHINA CHINA",,,,China (CN),,Qingdao,NHAVA SHEVA SEA (INNSA1),29329990,PROPYLENE CARBONATE TECH GRADE PROPYLENE CARBONATE TECH GRADE,,26000.0,KGS,0.0,19240.0,,,
2025-12-29,印度,中国,SINGLA AGROTECH PRIVATE LIMITED,DONGYING FODEN WHEELS CO LTD,PLOT NO.42-43 A INDUSTRIAL AREA,"ROOM 539-1,CITY EMPOWERMENT CENTER, 817 BINGSHENG ROAD,GUANGRAO ECONOMI C DEVELOPMENT ZONE,GUANGRAO COUNTY, CN",,,,China (CN),,Qingdao,NHAVA SHEVA SEA (INNSA1),87169090,TRACTOR TRAILER OUTER RIM BODY 7.50-20 TRACTOR TRAILER OUTER RIM BODY 7.50-20,,1914.0,PCS,0.0,27753.0,,,
