date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2026-01-06,美国,中国,NEBULACREST INC,GUANGZHOU SHENDIANWEI TRADE CO LT,15040 SEVENTH ST #1010 VICTORVILL E CA 92395 CUS VICTORVILLE US , ROOM 4008 BUILDING B NO 140-214 YINGBIN ROAD LUOPU STREET PANYU D ISTRICT GUANGZHOU CITY 511 CN ,N/A,N/A,,"CN, CHINA",,SHANGHAI,"NEW YORK,NY",851830,PHONE CASE,NO MARKS,1041.0,CTN,18230.0,0.0,CGLSCSH25111502,OOCU9716928,
2026-01-06,美国,中国,PILOTAGE SERVICE INC,GUANGZHOU SHENDIANWEI TRADE CO LT,4521 CAMPUS DR STE 337 IRVINE CALIFORNIA 92603 US , ROOM 4008 BUILDING B NO 140-214 YINGBIN ROAD LUOPU STREET PANYU DI STRICT GUANGZHOU CN ,N/A,N/A,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",851830,PHONE CASE,NO MARKS,736.0,CTN,12000.0,0.0,OBLMOBSZ25112064,OOLU9067384,
2026-01-06,美国,中国,VAN GUARLY TRADE INC,GUANGZHOU SHENDIANWEI TRADE CO LT,4498 MAIN ST SUITE 9 BUFFALO NY 14 2263215713454 , ROOM 4008 BUILDING B NO 140-214 YINGBIN ROAD LUOPU STREET PANYUDI STRICT GUANGZHOU CITY 511400 ,VAN GUARLY TRADE INC,4498 MAIN ST SUITE 9 BUFFALO NY 14 2263215713454 ,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",230910,CAT FEEDER,NO MARKS,986.0,CTN,10814.0,216280.0,NIUK251124005,TXGU4115937,
2026-01-06,美国,中国,LUMINACORE INC,GUANGZHOU SHENDIANWEI TRADE CO LT,60 W MITCHELL HAMMOCK RD OVIEDO FL 32765 OVIEDO US , ROOM 4008 BUILDING B NO 140-214 YINGBIN ROAD LUOPU STREET PANYU DI STRICT GUANGZHOU CITY 511400 CN ,N/A,N/A,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",851830,PHONE CASE,NO MARKS,965.0,CTN,13059.0,0.0,CGLSCSZ25111297,CSNU6764990,
2026-01-06,美国,中国,NEBULACREST INC,GUANGZHOU SHENDIANWEI TRADE CO LT,15040 SEVENTH ST #1010 VICTORVILLE CA 92395 , ROOM 4008 BUILDING B NO 140-214 YINGBIN ROAD LUOPU STREET PANYUDI STRICT GUANGZHOU CITY 511400 ,NEBULACREST INC,15040 SEVENTH ST #1010 VICTORVILLE CA 92395 ,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",851830,PHONE CASE,NO MARKS,381.0,CTN,8010.0,0.0,GSDRHCBL585911,EMCU8064776,
2026-01-06,美国,中国,NEBULACREST INC,GUANGZHOU SHENDIANWEI TRADE CO LT,15040 SEVENTH ST #1010 VICTORVILL E CA 92395 VICTORVILLE US , ROOM 4008 BUILDING B NO 140-214 YINGBIN ROAD LUOPU STREET PANYU DI STRICT GUANGZHOU CITY 511400 CN ,N/A,N/A,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",851830,PHONE CASE,NO MARKS,1086.0,CTN,13000.0,0.0,CGLSCSZ25111621,FFAU3494770,
2026-01-06,美国,中国,NETA GAIN TRADE LLC,GUANGZHOU JISU TONG INTERNATIONAL SUPPLY CHAIN MANAGEMENT CO LTD,11626 TUXFORD ST SUN VALLEY CA 913 52 , 5 TH FLOOR BUILDING 8 DYNAMIC WANGGANG CREATIVE PARK JIAHE WANGGANG BA ,NETA GAIN TRADE LLC,11626 TUXFORD ST SUN VALLEY CA 913 52 ,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",940140,FABRIC SOFA,NO MARKS,89.0,CTN,6073.0,121460.0,GSDRHZMOY584388,EITU1454850,
2026-01-06,美国,中国,LUMINACORE INC,GUANGZHOU SHENDIANWEI TRADE CO LT,60 W MITCHELL HAMMOCK RD OVIEDO FL 32765 OVIEDO US , ROOM 4008 BUILDING B NO 140-214 YINGBIN ROAD LUOPU STREET PANYU DI STRICT GUANGZHOU CITY 511400 CN ,N/A,N/A,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",851830,PHONE CASE,NO MARKS,932.0,CTN,12965.0,0.0,CGLSCSZ25111301,CSNU7643077,
2026-01-06,美国,中国,ELITE INDUSTRIAL INC,GUANGZHOU FUYOU IMPORT & EXPORT T,36 S 18TH AVE STE D BRIGHTON CO 8 0601 ,605 RONGHUI BUILDING NO 302 ZHICHENG AVENUE GUANGZHOU ECONOM IC AND TECHNOLOGICAL DEVELOPMENT ZO,ELITE INDUSTRIAL INC,36 S 18TH AVE STE D BRIGHTON CO 8 0601 ,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",950350,TOY DANCE MAT,NO MARKS,872.0,CTN,10251.0,205020.0,GSDRXU08584302,EGSU1832470,
2026-01-06,美国,中国,SUMMIT TRADE INC,GUANGZHOU SHENDIANWEI TRADE CO LT,1401 21ST ST STE R SACRAMENTO CA 9 5811 SACRAMENTO 95811 US , ROOM 4008 BUILDING B NO 140-214 YINGBIN ROAD LUOPU STREET PANYU D ISTRICT GUANGZHOU CITY 51140 CN ,N/A,N/A,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",481960,STORAGE BOX,NO MARKS,992.0,CTN,14618.0,0.0,SLYWSSC2512102,TCLU7945820,
