date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2023-12-30,印度,中国,KONICA MINOLTA HEALTHCARE INDIA PRIVATE LIMITED,SONOSCAPE MEDICAL CORP,"OFFICE NO.201, 2ND FLOOR, ATRIUM 2  ,,ANDHERI KURLA ROAD, CHAKALA,",,,,,CHINA ,,SHENZHEN,NHAVA SHEVA SEA (INNSA1),90181290,TV PROBE SV63N FOR CD40/CD50PRO AI (3 YEARS WARRANTY) (MEDICAL EQUIPMENT)(APTA NO.0123111700228746 DT.20.12.2023),,5.0,UNT ,0.0,6000.0,HWKC6IQJBE9OY,,
2023-12-30,印度,中国,KONICA MINOLTA HEALTHCARE INDIA PRIVATE LIMITED,SONOSCAPE MEDICAL CORP,"OFFICE NO.201, 2ND FLOOR, ATRIUM 2  ,,ANDHERI KURLA ROAD, CHAKALA,",,,,,CHINA ,,SHENZHEN,NHAVA SHEVA SEA (INNSA1),90181290,COMPOSITE CRYSTAL LINEAR PROBE SL12A FOR CD40&CD50PRO AI(3 YEARS WARRANTY)(MEDICAL EQUIPMENT)(APTA NO.0123111700228746 D,,5.0,UNT ,0.0,9000.0,HWKC6IQJBE9OY,,
2023-12-30,印度,中国,KONICA MINOLTA HEALTHCARE INDIA PRIVATE LIMITED,SONOSCAPE MEDICAL CORP,"OFFICE NO.201, 2ND FLOOR, ATRIUM 2  ,,ANDHERI KURLA ROAD, CHAKALA,",,,,,CHINA ,,SHENZHEN,NHAVA SHEVA SEA (INNSA1),90181290,SP7A PHASED ARRAY PROBE FOR CD50PRO AI (3 YEARS WARRANTY) (MEDICAL EQUIPMENT)(APTA NO.0123111700228746 DT.20.12.2023),,2.0,UNT ,0.0,2400.0,HWKC6IQJBE9OY,,
2023-12-30,印度,中国,KONICA MINOLTA HEALTHCARE INDIA PRIVATE LIMITED,SONOSCAPE MEDICAL CORP,"OFFICE NO.201, 2ND FLOOR, ATRIUM 2  ,,ANDHERI KURLA ROAD, CHAKALA,",,,,,CHINA ,,SHENZHEN,NHAVA SHEVA SEA (INNSA1),90181290,LINEAR PROBE SL42N FOR CD40 (3 YEARS WARRANTY) (MEDICAL EQUIPMENT)(APTA NO.0123111700228746 DT.20.12.2023),,3.0,UNT ,0.0,3600.0,HWKC6IQJBE9OY,,
2023-12-30,印度,中国,KONICA MINOLTA HEALTHCARE INDIA PRIVATE LIMITED,SONOSCAPE MEDICAL CORP,"OFFICE NO.201, 2ND FLOOR, ATRIUM 2  ,,ANDHERI KURLA ROAD, CHAKALA,",,,,,CHINA ,,SHENZHEN,NHAVA SHEVA SEA (INNSA1),90181290,AEROSCAN TROLLEY COLOUR DOPPLER ULTRASOUND SYSTEM CD40 (3 YEARS WARRANTY) (MEDICAL EQUIPMENT)(APTA NO.0123111700228746 D,,5.0,UNT ,0.0,40500.0,HWKC6IQJBE9OY,,
2023-12-30,印度,中国,KONICA MINOLTA HEALTHCARE INDIA PRIVATE LIMITED,SONOSCAPE MEDICAL CORP,"OFFICE NO.201, 2ND FLOOR, ATRIUM 2  ,,ANDHERI KURLA ROAD, CHAKALA,",,,,,CHINA ,,SHENZHEN,NHAVA SHEVA SEA (INNSA1),90181290,CONVEX PROBE SC3A FOR CD40 (3 YEARS WARRANTY) (MEDICAL EQUIPMENT)(APTA NO.0123111700228746 DT.20.12.2023),,5.0,UNT ,0.0,5000.0,HWKC6IQJBE9OY,,
2023-12-29,乌兹别克斯坦,中国,ООО MIRACLE IVF,SHENZHEN MINDRAY BIO MEDICAL ELECTRONICS CO LTD,,,,,,,,,,9018120000,"1)  Digital Ultrasound Diagnostic Imaging System DC-40 with accessories / Ультразвуковая диагностическая система DC-40 в комплекте с принадлежностями, новый, 2023 год выпуска, сер.№CT7-39008860, производитель Shenzhen Mindray Bio-Medical Electronics Co., Ltd  (Китай):  вес: 87,68 кг, кол. 1 шт; 2) Вид и количество упаковки:1 паллет+коробки; 3) № конт.:DFSU6438338, кол-во:1; ; 8) Код инвестпрограммы:000; 9) Код технологического оборудования:024; 10) Год изготовления и технические параметры: G31MARKA марка Mindray YEAR10 год производ 2023 PARAM10 Характеристика товара Напряжение 220V, частота 50/60Hz",,1.0,Piece,87.68,16000.0,,,
2023-12-28,越南,中国,CÔNG TY TNHH GMED,SONOSCAPE MEDICAL CORP,"No. 29, Alley 144, An Duong Vuong Street, Group 1, Cluster 1, Phu Thuong Ward, Tay Ho District, City. Hanoi","2F,12TH BUILDING, SHENZHEN SOFTWARE, PARK PHASE II, KEJI MIDDLE, 2ND ROAD, NANSHAN DISTRICT,518057, SHENZHEN",,,,China,,SHENZHEN,CANG XANH VIP,90181200,"Hệ thống chẩn đoán siêu âm Doppler màu P20, đầu dò VC6-2, HSX: Sonoscape Medical Corp, năm SX: 2023, dùng khảo sát nhiều bộ phận cơ thể, mới 100%,P20 color Doppler ultrasound diagnostic system, VC6-2 probe, HSX: Sonoscape Medical Corp, year of manufacture: 2023, used to survey many body parts, 100% new",,2.0,Set,0.0,24000.0,261223LSZHPH2310711,,
2023-12-28,越南,中国,CÔNG TY TNHH GMED,SONOSCAPE MEDICAL CORP,"No. 29, Alley 144, An Duong Vuong Street, Group 1, Cluster 1, Phu Thuong Ward, Tay Ho District, City. Hanoi","2F,12TH BUILDING, SHENZHEN SOFTWARE, PARK PHASE II, KEJI MIDDLE, 2ND ROAD, NANSHAN DISTRICT,518057, SHENZHEN",,,,China,,SHENZHEN,CANG XANH VIP,90181200,"Hệ thống chẩn đoán siêu âm Doppler màu P20, đầu dò VC6-2, HSX: Sonoscape Medical Corp, năm SX: 2023, dùng khảo sát nhiều bộ phận cơ thể, mới 100%,P20 color Doppler ultrasound diagnostic system, VC6-2 probe, HSX: Sonoscape Medical Corp, year of manufacture: 2023, used to survey many body parts, 100% new",,1.0,Set,0.0,12000.0,261223LSZHPH2310711,,
2023-12-28,印度,中国,NARAYAN INDUSTRIES,CONTEC MEDICAL SYSTEMS CO LTD,"6, STAR LANE,  ",,,,,CHINA ,,GUIYANG,KOLKATA ACC (INCCU4),90181290,"POCKET FETAL DOPPLER, MODEL: CONTEC10B ( MEDICAL EQUIPMENT WITH STANDARD ACCESSORIES)",,500.0,NOS ,0.0,7500.0,OCBAMTQFW7Q4S,,
