date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2025-12-19,秘鲁,中国,J N ACEROS S A,MEGLOBE CO LTD,CAL. FELIPE SALAVERRY NRO. 176 URB. EL PINO,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,SHANGHAI,,7219210000,"PLANCHAS DE ACERO INOXIDABLE LAMINADO EN CALIENTE, JIANGSU, S/M PLANCHAS DE ACERO INOXIDABLE LAMINADO EN CALIENTE SIZE: 12 * 1500 * 3000 STAINLESS STEEL SHEETS/PLATES , SLIT EDGE ACERO INOXIDABLE",,2.98,TONS,2975.0,10979.23,,,
2025-12-19,秘鲁,中国,J N ACEROS S A,MEGLOBE CO LTD,CAL. FELIPE SALAVERRY NRO. 176 URB. EL PINO,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,SHANGHAI,,7219210000,"PLANCHAS DE ACERO INOXIDABLE LAMINADO EN CALIENTE, JIANGSU, S/M PLANCHAS DE ACERO INOXIDABLE LAMINADO EN CALIENTE SIZE: 19.05 * 1500 * 6000 STAINLESS STEEL SHEETS/PLATES , SLIT EDGE ACERO INOXIDABLE,PAGO AL CONTADO",,2.76,TONS,2764.0,6246.19,,,
2025-12-19,秘鲁,中国,J N ACEROS S A,MEGLOBE CO LTD,CAL. FELIPE SALAVERRY NRO. 176 URB. EL PINO,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,SHANGHAI,,7219210000,"PLANCHAS DE ACERO INOXIDABLE LAMINADO EN CALIENTE, JIANGSU, S/M PLANCHAS DE ACERO INOXIDABLE LAMINADO EN CALIENTE SIZE: 12 * 1500 * 6000 STAINLESS STEEL SHEETS/PLATES , SLIT EDGE ACERO INOXIDABLE",,5.04,TONS,5035.0,9942.66,,,
2025-12-17,秘鲁,中国,POLIMETALES S A C,WUXI BAOCHANG METAL PRODUCTS CO LTD,AV. ARGENTINA NRO. 2787 Z.I. ZONA INDUSTRIAL,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,SHANGHAI,,7219210000,"PLANCHAS DE ACERO INOXIDABLE, S/M, S/M MEDIDAS: 12.00MM X 1500MM X 3000MM - 1 PIEZAS USO INDUSTRIAL STAINLESS STEEL PLATES, ASTM A240 AISI 309 ACERO INOXIDABLE, LAMINADA AL CALIENTE",,0.43,TONS,429.0,1377.61,,,
2025-12-17,秘鲁,中国,POLIMETALES S A C,WUXI BAOCHANG METAL PRODUCTS CO LTD,AV. ARGENTINA NRO. 2787 Z.I. ZONA INDUSTRIAL,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,SHANGHAI,,7219210000,"PLANCHAS DE ACERO INOXIDABLE, S/M, S/M MEDIDAS: 16.00MM X 1200MM X 2400MM - 1 PIEZAS USO INDUSTRIAL STAINLESS STEEL PLATES, ASTM A240 AISI 309 ACERO INOXIDABLE, LAMINADA AL CALIENTE",,0.4,TONS,399.0,1422.26,,,
2025-12-17,秘鲁,中国,POLIMETALES S A C,WUXI BAOCHANG METAL PRODUCTS CO LTD,AV. ARGENTINA NRO. 2787 Z.I. ZONA INDUSTRIAL,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,SHANGHAI,,7219210000,"PLANCHAS DE ACERO INOXIDABLE, S/M, S/M MEDIDAS: 10.00MM X 1500MM X 6000MM - 2 PIEZAS USO INDUSTRIAL STAINLESS STEEL PLATES, ASTM A240 AISI 309 ACERO INOXIDABLE, LAMINADA AL CALIENTE",,1.41,TONS,1412.0,4435.29,,,
2025-12-17,秘鲁,中国,POLIMETALES S A C,WUXI BAOCHANG METAL PRODUCTS CO LTD,AV. ARGENTINA NRO. 2787 Z.I. ZONA INDUSTRIAL,,,,,"CHINA, PEOPLE'S REPUBLIC OF",,SHANGHAI,,7219210000,"PLANCHAS DE ACERO INOXIDABLE, S/M, S/M MEDIDAS: 12.00MM X 1500MM X 6000MM - 1 PIEZA USO INDUSTRIAL STAINLESS STEEL PLATES, ASTM A240 AISI 309 ACERO INOXIDABLE, LAMINADA AL CALIENTE",,0.85,TONS,846.0,2657.4,,,
2025-12-12,厄瓜多尔,中国,FEHIERRO S A,MEGLOBE CO LTD,,,,,,CHINA,,,,7219210000,PLANCHAS DE ACERO INOXIDABLE LAMINADAS EN CALIENTE,,4.428,TM,4428.0,9442.104,,,SIN MARCA
2025-12-04,哥斯达黎加,中国,SOLUCIONES INDUSTRIALES Y RESIDENCIALES,WUXI QIHAO METAL CO LTD,,,,,,CHINA,,,,721921000000,"STAINLESS STEEL SHEET/PLATE LAMINA/PLACA DE ACERO INOXIDABLE LONGITUD 3350 MM X ANCHO 600 MM, ESPESOR 1""=25,4 MM AISI 304",,2.0,Unidad (c/u),567.54,1780.46,,,AISI 304                                                              
2025-12-04,哥斯达黎加,中国,SOLUCIONES INDUSTRIALES Y RESIDENCIALES,WUXI QIHAO METAL CO LTD,,,,,,CHINA,,,,721921000000,"STAINLESS STEEL SHEET/PLATE 5/8"" CHAPA/PLACA DE ACERO INOXIDABLE 5/8"" 1600mm x 520 mm 15X520X1600 AISI 304",,1.0,Unidad (c/u),115.68,362.91,,,AISI 304                                                              
