date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2026-01-12,美国,中国,ZENITH CREST INC,DONGYING JIASHI COMMERCE AND TRADE NO,1755 BLAKE ST STE 490 DENVER CO 80 202 ,312 SECTION 1 BUILDING 28 EC O VALLEY NO 38 HUANGLU ROAD DON GYING DISTRICT DONGYING CITY SHA,ZENITH CREST INC,1755 BLAKE ST STE 490 DENVER CO 80 202 ,,"CN, CHINA",,SHANGHAI,Charleston,,POLYETHER POLYOL,NO MARKS,20.0,PKG,21160.0,0.0,LIRWLSSH25110057,TGBU3003077,
2026-01-12,美国,中国,ZENITH CREST INC,DONGYING JIASHI COMMERCE AND TRADE CO LTD,1755 BLAKE ST STE 490 DENVER CO 80 202 , NO 312 SECTION 1 BUILD ING 28 ECO VALLEY NO 38 HUANGLU ,ZENITH CREST INC,1755 BLAKE ST STE 490 DENVER CO 80 202 ,,"CN, CHINA",,QINGDAO,Charleston,400219,POLYMER POLYOL,NO MARKS,20.0,PKG,21160.0,0.0,SHNLSLQD25110607,EGHU3331915,
2026-01-12,美国,中国,ZENITH CREST INC,DONGYING JIASHI COMMERCE AND TRADE CO LTD,1755 BLAKE ST STE 490 DENVER CO 80 202 , NO 312 SECTION 1 BUILD ING 28 ECO VALLEY NO 38 HUANGLU ,ZENITH CREST INC,1755 BLAKE ST STE 490 DENVER CO 80 202 ,,"CN, CHINA",,QINGDAO,Charleston,400219,POLYMER POLYOL,NO MARKS,20.0,PKG,21160.0,0.0,SHNLSLQD25110605,EGHU3185636,
2026-01-12,美国,中国,RITEKS INC,DONGYING RISOL WELLCHEM CO LTD,- 855 855 GREENS PARKWAY HOURS 6-2:30PM HOUSTON TX 77067 , 5TH FLOOR BLOCK B HONGJI MANSION H UANGHE ROAD DONYING SHANDONG CHI NA ,RITEKS INC,- 855 855 GREENS PARKWAY HOURS 6-2:30PM HOUSTON TX 77067 ,,"CN, CHINA",,Pusan,"HOUSTON,TX",630532,FLUID LOSS ADDITIVE KG/BAGS,NO MARKS,20.0,PKG,20500.0,0.0,SAACAGTAO526204,TEMU3747130,
2026-01-12,美国,圣赫勒拿岛（英）,PARNELLST INC,DONGYING JIASHI COMMERCE AND TRADE CO LTD,827N LAFAYETTE ST STE 107 DENVER CO 80205 UNITED STATES OF DENVERCO80205 US , NO 312 SECTION 1 BLDG 28 ECO VALLEY NO 38 HUANGLU ROAD DONGYING SG CHINA DONGYINGSG CN ,N/A,N/A,,"SH, SAINT HELENA",,Port of Seattle,LONG BEACH,,POLYETHER POLYOL,NO MARKS,20.0,PKG,21160.0,0.0,PPILSWH04701,WHSU2835896,
2026-01-12,美国,中国,ZENITH CREST INC,DONGYING JIASHI COMMERCE AND TRADE CO LTD,1755 BLAKE ST STE 490 DENVER CO 80 202 , NO 312 SECTION 1 BUILDING 28 ECO VALLEY NO 38 HUANGLU ROAD D ONGYING DISTRICT DONGYING CITY 257000 ,ZENITH CREST INC,1755 BLAKE ST STE 490 DENVER CO 80 202 ,,"CN, CHINA",,SHANGHAI,Charleston,,POLYETHER POLYOL,NO MARKS,20.0,PKG,21160.0,0.0,OSTISHCHS25B0962,EGSU3292026,
2026-01-12,美国,中国,ZENITH CREST INC,DONGYING JIASHI COMMERCE AND TRADE CO LTD,1755 BLAKE ST STE 490 DENVER CO 80 202 , NO 312 SECTION 1 BUILD ING 28 ECO VALLEY NO 38 HUANGLU ,ZENITH CREST INC,1755 BLAKE ST STE 490 DENVER CO 80 202 ,,"CN, CHINA",,QINGDAO,Charleston,400219,POLYMER POLYOL,NO MARKS,20.0,PKG,21160.0,0.0,SHNLSLQD25110606,EITU0523345,
2026-01-12,美国,中国,YOUNGQUIST BROTHERS INC,DONGYING HERI INTERNATIONAL CO LTD,15465 PINE RIDGE ROAD FT MYERS FL 33908 CLAY FERGUSON , ROOM 111 DRAGON WORKSHOP CROSS-BOR DER E-COMMERCE INDUSTRIAL PARK NAN ER ROAD 233# DONGYING DISTRICT D ,YOUNGQUIST BROTHERS INC,15465 PINE RIDGE ROAD FT MYERS FL 33908 CLAY FERGUSON ,,"CN, CHINA",,Pusan,Tampa,730620,AMERICAN WATER WORKS ASSOCIATION (AWWA) C STEEL WATER WELL CASING SSAWAMERICAN WATER WORKS ASSOCIATION (AWWA) C STEEL WATER WELL CASING SSAWAMERICAN WATER WORKS ASSOCIATION (AWWA) C STEEL WATER WELL CASING SSAWAMERICAN WATER WORKS ASSOCIATION (AWWA) C STEEL WATER WELL CASING SSAWAMERICAN WATER WORKS ASSOCIATION (AWWA) C STEEL WATER WELL CASING SSAW,HERI INTERNATIONALHERI INTERNATIONALHERI INTERNATIONALHERI INTERNATIONALHERI INTERNATIONAL,55.0,PKG,134670.0,0.0,WLTJPGSYZD25229,"FCIU9744868,BMOU6162715,TCLU9811835,MSNU7024597,MEDU9415232",
2026-01-12,美国,中国,ZENITH CREST INC,DONGYING JIASHI COMMERCE AND TRADE NO,1755 BLAKE ST STE 490 DENVER CO 80 202 ,312 SECTION 1 BUILDING 28 EC O VALLEY NO 38 HUANGLU ROAD DON GYING DISTRICT DONGYING CITY SHA,ZENITH CREST INC,1755 BLAKE ST STE 490 DENVER CO 80 202 ,,"CN, CHINA",,SHANGHAI,Charleston,551342,POLYETHER POLYOL F M,NO MARKS,20.0,PKG,21160.0,0.0,LIRWLSSH25110059,TEMU5138282,
2026-01-12,美国,圣赫勒拿岛（英）,PARNELLST INC,DONGYING JIASHI COMMERCE AND TRADE CO LTD,827 N LAFAYETTE STSTE 107 DENVER CO 80205 UNITED STATES OF DENVER CO80205US , NO 312 SECTION 1 BLDG 28 ECO VALLEY NO 38 HUANGLU ROAD DONGYING SG CHINA DONGYING SGCN ,N/A,N/A,,"SH, SAINT HELENA",,Port of Seattle,LONG BEACH,,POLYETHER POLYOL,NO MARKS,20.0,PKG,21160.0,0.0,PPILSWH04702,WHSU0379626,
