date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2026-01-06,美国,中国,GUANGZHOU BUTONG IMPORT & EXPORT TRADE CO LTD,GUANGZHOU BUTONG IMPORT & EXPORT TRADE CO LTD, C/O FBA401 INDEPE NDENCE ROAD , ROOM 616 NO 2 JI NKENG GUANGXING HONGMIAN ROAD NANC ,N/A,N/A,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",854340,STONE METAL FENCE,NO MARKS,102.0,CTN,1674.0,0.0,AMZDCN25IP6FCV3I,CAIU9395768,
2026-01-06,美国,中国,STARS AND STRIPES TRADE INC,GUANGZHOU XINHE PACKAGING PRODUCTS CO LTD,453 S SPRING ST STE 400 LOS ANGELESCA 90013 , NO 10 PACIFIC 7TH ROAD XINTANG ZENGCHENG DISTRICT GUANGZ HOU CITY ,STARS AND STRIPES TRADE INC,453 S SPRING ST STE 400 LOS ANGELESCA 90013 ,,"CN, CHINA",,SHANGHAI,LOS ANGELES,392220,PLASTIC BAG,NO MARKS,1109.0,CTN,17200.0,0.0,KSCNKSI25120340,GESU6863235,
2026-01-06,美国,中国,ECHOHAVEN MILL GLOBAL LINK CO LTD,GUANGZHOU GANCAN TRADE CO LTD, 1224 FERN RIDGE PKWY STE 302 SAINT LOUIS MO 6314 SAINT LOUIS MISSOUR I 63141 US , SHOP 51 NO 34 QIUYUE STREET QIAO CHENG ROAD HAIZHU DISTRICT GUANGZH OU CITY GUANGZHOU CN ,N/A,N/A,,"CN, CHINA",,SHANGHAI,"NEW YORK,NY",847990,TRASH CAN HS CODE:,NO MARKS,718.0,CTN,10621.0,0.0,SKEMZG2512070092,OOLU6974993,
2026-01-06,美国,中国,URBANHAVEN LIVING INC,GUANGZHOU ZHUO RUI SMART HOME TECHNOLOGY CO LTD,33 WINTERFIELD RD , ROOM 911 912 NO 8 PAZHOU AVENUE EA ST HAIZHU DIST ,URBANHAVEN LIVING INC,33 WINTERFIELD RD ,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",300230,MIRROR MEDICINE CABINETS HS CODE,.,1210.0,CTN,12550.0,0.0,CHQFHHX25110228,FSCU8305113,
2026-01-06,美国,中国,,GUANGZHOU GO JUDY TRADE CO LTD,N/A, NO 605 NO 263 GAOTANG ROAD TIANHE DISTRICT GUANGZHOU CITY 510000 ,N/A,N/A,,"CN, CHINA",,DALIANXINGANG,Baltimore,940161,"DINING CHAIR,TABLE,BAR STOOL","WHS-102811-41564029,WHS-102811-41564018,WHS-1",90.0,CTN,1895.0,0.0,CGGMHSK0518550,MSKU1141288,
2026-01-06,美国,中国,MASLKATY DISTRIBUTION INC,FENGYI GUANGZHOU INTERNATIONAL E C D,41-14B MAIN ST STE B26 FLUSHING NY 11355 US ,ROOM 406 NO 40 DAJINZHONG RD JINGTAI STREET BAIYUN DISTRICT GUANGZHOU GD CHINA ,MASLKATY DISTRIBUTION INC,41-14B MAIN ST STE B26 FLUSHING NY 11355 US ,,"CN, CHINA",,SHANGHAI,LONG BEACH,610821,KNIT MENS PANTS,NO MARKS,4310.0,CTN,7476.0,0.0,SZQEMNGLU2511202,SMCU1107946,
2026-01-06,美国,中国,STARS TRADE INC,GUANGZHOU ISSYZONE TECHNOLOGY CO LTD,1331 PORTO GRANDE DR UNIT 5 DIAMONDBAR CA 91765 , UNIT J101 NO 31 FIFTH XICHA ROAD BAIYUN DISTRICT GUANGZHOU ,STARS TRADE INC,1331 PORTO GRANDE DR UNIT 5 DIAMONDBAR CA 91765 ,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",853990,LAMP THIS SHIPMENT DOES NOT CONTAIN SOLID WOOD PACKING MATERIALS,NO MARKS,1052.0,PKG,10930.0,0.0,OSTISZNYC25C5192,OOLU9642333,
2026-01-06,美国,中国,RISING INDUSTRIAL CO LTD,GUANGZHOU FUYOU IMPORT & EXPORT TRADE CO LTD, 4195 CHINO HILLS PKWYSTE E132 CHINOHILLS CA 9170991709 , ROOM 605 RONGHUIB UILDING NO 302 ZHICHENG AVENUE G UANGZHOU ECONOMIC AND ,RISING INDUSTRIAL CO LTD, 4195 CHINO HILLS PKWYSTE E132 CHINOHILLS CA 9170991709 ,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",611512,HOSE,NO MARKS,682.0,CTN,6800.0,136000.0,CHIASEF251123375,UETU6427060,
2026-01-06,美国,中国,HORIZON INTERNATIONAL TRADE INC,GUANGZHOU TOKER TRADE CO LTD,ADD50 W SAN FERNANDO ST SAN JOSE CA 95113 , ADDNO 101 DE XING ROAD WANG GANG JIA HE STREET BAI YUN DISTRICT GU ANGZHOU CHINA ,HORIZON INTERNATIONAL TRADE INC,ADD50 W SAN FERNANDO ST SAN JOSE CA 95113 ,,"CN, CHINA",,"SHENZHEN,YANTIAN","NEW YORK,NY",392690,PLASTIC BEADS,NO MARKS,1141.0,CTN,18713.0,0.0,MFNOMF25111311,SEGU4743338,
2026-01-06,美国,中国,SAINT GOBAIN ABRASIVES INC,GUANGZHOU QIANYANG METALS MACHINE,351 STORES STREET STOREHOUSE 8 , RM 808 G-2 NO 26 CHENYUE ROAD HAIZHU DISTRICT GUANGZHOU CHINA ,N/A,N/A,,"CN, CHINA",,XIAMEN,"NEW YORK,NY",691490,FUSED ALUMINA ZIRCONIA PACKAGES PALLETS,P.O.NO.4503908614,19.0,PKG,19380.0,0.0,CHSL534688604XMN,TLLU2872930,
