date,buyer_country,supplier_country,buyer,supplier,buyer_address,supplier_address,notify_party,notify_address,manufacturer,origin_country,destination_country,port_of_loading,port_of_discharge,hs_code,product_description,shipping_marks,quantity,quantity_unit,weight_kg,amount_usd,bill_number,container_number,brand
2026-01-13,美国,中国,TABLETOPS UNLIMITED,ZIBO ZHAOHAI LIGHT INDUSTRIAL PRODUCTS CO LTD,INC 23000 AVALON BLVD CARSON CA 90745 USA TEL 310 549 6000 , 112 WANJIE ROAD ZIBO DEVP ZONE SHANDONG CHINA ,TABLETOPS UNLIMITED,INC 23000 AVALON BLVD CARSON CA 90745 USA TEL 310 549 6000 ,,"CN, CHINA",,Pusan,LONG BEACH,701331,GLASSWARE USED FOR TABLE KITCHEN TOILET OF GLASSWARE (GLASS BOTTLE) THIS SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL THE SHIPMENTS ON MULTIPLE BILLS OF LADING YMJAW AND YMJAW AND YMJAW WERE LOADED INTO CONTAINERGLASSWARE USED FOR TABLE KITCHEN TOILET OF GLASSWARE (GLASS BOTTLE) THIS SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL THE SHIPMENTS ON MULTIPLE BILLS OF LADING YMJAW AND YMJAW AND YMJAW WERE LOADED INTO CONTAINERGLASSWARE USED FOR TABLE KITCHEN TOILET OF GLASSWARE (GLASS BOTTLE) THIS SHIPMENT DOES NOT CONTAIN ANY SOLID WOOD PACKING MATERIAL THE SHIPMENTS ON MULTIPLE BILLS OF LADING YMJAW AND YMJAW AND YMJAW WERE LOADED INTO CONTAINER,TTU ITEM NO. COR DESCRIPTION TTU PO CUSTOMER PO CUSTOMER SKU CASE PACK CASE NET WEIGHT GROSS WEIGHT MEASUREMENTS // // //TTU ITEM NO. COR DESCRIPTION TTU PO CUSTOMER PO CUSTOMER SKU CASE PACK CASE NET WEIGHT GROSS WEIGHT MEASUREMENTS // // //TTU ITEM NO. COR DESCRIPTION TTU PO CUSTOMER PO CUSTOMER SKU CASE PACK CASE NET WEIGHT GROSS WEIGHT MEASUREMENTS // // //,6157.0,CTN,32314.0,1938849.0,YMJAW240388917,"TGBU5515365,YMMU6159888,YMMU6314618",
2026-01-13,美国,中国,STAND TEXTILE CO INC,ZIBO DAYANG FLAME RETARDANT TEXTILE CO LTD, ONE KNOLLCREST DRIVE CINCINNATI OH45237 US , BEIJIAO ZHOUCUN DISTRICT SHANDONG ZIBO CITYCN ,STAND TEXTILE CO INC, ONE KNOLLCREST DRIVE CINCINNATI OH45237 US ,,"CN, CHINA",,Pusan,LONG BEACH,630392,% POLYESTER CLOTHINGHS: % PO LYESTER SHOWER CURTAIN HS: ROBE HEA LING SPACES KNIT HS:% POLYESTER CLOTHING HS: % PO LYESTER SHOWER CURTAIN HS: ROBE HEA LING SPACESKNIT HS:,NO MARKSNO MARKS,3044.0,CTN,23192.0,0.0,FCIFF25D02583LGB,"CAIU6312796,YMLU8960573",
2026-01-13,美国,中国,SUNSHINE BOUQUET COMPANY,ZIBO FAR LINK INTERNATIONAL TRADE, 2011 NW 70TH AVENUE 33122-MIAMI , NO 3 PHASE I ZHIGU INDUSTRIAL PARK NO 188 YUMIN ROAD HIGH-TECH ZONE ,SUNSHINE BOUQUET COMPANY, 2011 NW 70TH AVENUE 33122-MIAMI ,,"CN, CHINA",,QINGDAO,MIAMI,900140,GLASS VASE,NO MARKS,1618.0,CTN,16076.0,0.0,DFDSTAO7246153,TGBU9850952,
2026-01-13,美国,中国,SUNSHINE BOUQUET COMPANY,ZIBO YADONG IMPORT & EXPORT TRADE NO, 2011 NW 70TH AVENUE 33122-MIAMI ,2014-20F INTERCONTINENTAL CENTER BUILDING 240# LIUQUAN ROAD,SUNSHINE BOUQUET COMPANY, 2011 NW 70TH AVENUE 33122-MIAMI ,,"CN, CHINA",,QINGDAO,MIAMI,270730,"GLASS VASE,PO# ,PO# ,PO# ,P O#GLASS VASE,PO# ,PO# ,PO# ,P O#GLASS VASEPO# , PO# , PO#GLASS VASEPO# , PO# , PO#GLASS VASE,PO# ,PO# ,PO# ,P O#GLASS VASE,PO# ,PO# ,PO# ,P O#",YORK.L.SUN ??PO NO.: ??ITEM NO.: ??DESCRIPTI ON: ??CASE PACK: ??N.W.: ??G.W.: ??MEAS: ??C/CTN: ??MADE IN CHINA??YORK.L.SUN ??PO NO.: ??ITEM NO.: ??DESCRIPTI ON: ??CASE PACK: ??N.W.: ??G.W.: ??MEAS: ??C/CTN: ??MADE IN CHINA??YORK.L.SUN ??PO NO.: ??ITEM NO.: ??DESCRIPTI ON: ??CASE PACK: ??N.W.: ??G.W.: ??MEAS: ??C/CTN: ??MADE IN CHINA??YORK.L.SUN ??PO NO.: ??ITEM NO.: ??DESCRIPTI ON: ??CASE PACK: ??N.W.: ??G.W.: ??MEAS: ??C/CTN: ??MADE IN CHINA??YORK.L.SUN ??PO NO.: ??ITEM NO.: ??DESCRIPTI ON: ??CASE PACK: ??N.W.: ??G.W.: ??MEAS: ??C/CTN: ??MADE IN CHINA??YORK.L.SUN ??PO NO.: ??ITEM NO.: ??DESCRIPTI ON: ??CASE PACK: ??N.W.: ??G.W.: ??MEAS: ??C/CTN: ??MADE IN CHINA??,9754.0,CTN,65565.0,0.0,DFDSTAO7245699,"MSBU8758290,TXGU5394029,MSDU8682890,TGHU6112052,MSBU4634460,MSBU4639034",
2026-01-13,美国,中国,BOUNDLESS EC US LLC,ZIBO SEATAIN TRADE CO LTD,1209 ORANGE STREET WILMINGTON DE 19801 DELAWARE WILMINGTON DE VI , RM 1202 BLDG 26 NONGXINJIAYUAN ZH ONGXIN ROAD BOSHAN ZIBO SHANDONG CHINA ZIBO CN ,N/A,N/A,,"CN, CHINA",,SHANGHAI,LONG BEACH,900140,PH-RECHARGE-GLASS,NO MARKS,90.0,CTN,495.0,0.0,FSIH2512047528,MATU2595916,
2026-01-13,美国,中国,SUNSHINE BOUQUET COMPANY,ZIBO FAR LINK INTERNATIONAL TRADE, 2011 NW 70TH AVENUE 33122-MIAMI , NO 3 PHASE I ZHIGU INDUSTRIAL PARK NO 188 YUMIN ROAD HIGH-TECH ZONE ,SUNSHINE BOUQUET COMPANY, 2011 NW 70TH AVENUE 33122-MIAMI ,,"CN, CHINA",,QINGDAO,MIAMI,900140,GLASS VASE,NO MARKS,1453.0,CTN,14106.0,0.0,DFDSTAO7246141,MSDU8043740,
2026-01-12,美国,中国,SOMODA TRADE INC,ZIBO JIASHIHENG INTERNATIONAL TRADE,145 E 32ND ST STE 1200 NEW YORK NY 10016 ,1201 UNIT 2 BUILDING 17 LUI DA PLAZA BOSHAN DISTRICT TOWN CENT ER ZIBO CITY SHANDONG PROVINCE,SOMODA TRADE INC,145 E 32ND ST STE 1200 NEW YORK NY 10016 ,,"CN, CHINA",,Pusan,LONG BEACH,842531,SKID STEER ROCK BUCKET HYDRAULIC WINCH,NO MARKS,335.0,PKG,17462.0,0.0,JSIKSSCZ2529940,LYGU4186344,
2026-01-12,美国,中国,IKEA SUPPLY AG,ZIBO COMM MOUNTAIN GLASSWARE CO LT,202 LITTLE HEARST PARKWAY 31407 PORT WENTWORTH US EMAIL IKEA2 USDO@I NTER IKEA COM 31407 , NO 384 HEISHAN FRONT BADOU BOSH AN DISTRICT 255203 ZIBO CN 25520 ,IKEA PURCHASING SERVICES US INC,2200 RENAISSANCE BLVD SUITE 400 19 406 KING OF PRUSSIA US EMAIL IKEA 2 USDO@INTER IKEA COM 19406 ,,"CN, CHINA",,NINGBO,Savannah,330210,IKEA FOOD CONT W LID . L RECT/GLS -P IKEA FOOD CNTNR ML SQUARE/GLASS IKEA FOOD CONT W LID ML ROUND/GLS - SHIPPER LOAD AND COUNT,NO MARKS,8590.0,PCS,14654.0,293087.0,HDMUTAOM82520100,KOCU5201447,
2026-01-12,美国,中国,IKEA SUPPLY AG,ZIBO COMM MOUNTAIN GLASSWARE CO LT,4104 INDUSTRIAL PARKWAY 93243 LEBECUS EMAIL IKEA2 USDO@IKEA COM 93243 , NO 384 HEISHAN FRONT BADOU BOSH AN DISTRICT 255203 ZIBO CN 25520 ,IKEA PURCHASING SERVICES US INC,2200 RENAISSANCE BLVD SUITE 400 19 406 KING OF PRUSSIA US EMAIL IKEA 2 USDO@INTER IKEA COM 19406 ,,"CN, CHINA",,Pusan,LONG BEACH,292249,"HAVSTOBIS LUNCH BOX ML TRANSP/LGRN -P NA IKEA FOOD CNTNR . L SQUARE/GLASS,IKEA IKEA COFFEE/TEA MAKER L CL GLS/STNLS,I CITRONHAJ SPICE JAR CL CL GLS/STNLS -P NA GALEJ TEALT HLDR -P SHIPPER LOAD AND COUNT",NO MARKS,5394.0,PCS,3841.0,76813.0,HDMUTAOM41922905,CAIU7521975,
2026-01-12,美国,中国,GRANT HOWARD ASSOCIATES LLC,ZIBO HICHEON HOMEWARE CORP LTD,450 HERITAGE ROAD SUITE 4C SOUTHBURY CT 06488 USA , NO 9A-1 DEVELOPING ZONE NORTH ROAD ZIBO HI-TECH DEVELOPING ZONE ZIBO SHANDONG CHINA 255086 ,GRANT HOWARD ASSOCIATES LLC,450 HERITAGE ROAD SUITE 4C SOUTHBURY CT 06488 USA ,,"CN, CHINA",,PORT REDON,"NEW YORK,NY",040900,GLASS HONEY JAR HS CODE:,NO MARKS,1000.0,CTN,8000.0,0.0,HYSLUGSZ2511003,TCNU4251062,
