packet_row,report_date,recall_number,recalling_firm,status,classification,product_type,product_description,reason_for_recall,distribution_pattern,code_info
1051,20250115,D-0189-2025,"Rising Pharma Holding, Inc.",Ongoing,Class II,Drugs,"Duloxetine Delayed-Release Capsules USP 20 mg, 60 count bottles, Rx only, Distributed by: Rising Pharm
Holdings, Inc., East Brunswick, NJ NDC 57237-017-60",CGMP Deviations; Presence of N-nitroso-duloxetine impurity above recommended interim limit.,Nationwide,"Lot # DT2023003A, DT2023007A, DT2023008A, exp. date Jan-25"
1052,20250108,D-0175-2025,AvKARE,Ongoing,Class III,Drugs,"Carboxymethylcellulose Sodium Ophthalmic Solution 0.5% Moisturizing Lubricant Eye Drops, 0.5 FL OZ (15 mL)
bottles, Distributed by: AvKARE, Pulaski, TN, 38478, NDC 50268-068-15.",LABELING: LABEL MIX-UP,Nationwide within the United States,"Lot #: 0160, Exp. Date April 26 2026"
1053,20250108,D-0172-2025,VIONA PHARMACEUTICALS INC,Ongoing,Class II,Drugs,"Dapsone Gel 7.5%, 90 g, Rx Only, Manufactured by: Zydus Lifesciences Ltd., Ahmedabad, India, Distributed by:
Viona Pharmaceuticals Inc., Cranford, NJ 07016, NDC 72578-094-03.  packaged in an Airless pump pack",Crystallization,US Nationwide,"Lots T400514, Exp Date 02/2026 & T400808, Exp Date 03/2026"
1054,20250108,D-0168-2025,AvKARE,Ongoing,Class II,Drugs,"Nitrofurantoin Capsules, USP, 100 mg, 50 Capsules (5 x 10) Unit Dose per carton, Rx Only, Manufactured for:
AvKARE, Inc., Pulaski, TN 38478.  NDC#: 50268-625-15.",Failed Dissolution Specifications,Nationwide USA,Lot # 47101; Exp. 02/2026
1055,20250108,D-0167-2025,Lupin Pharmaceuticals Inc.,Terminated,Class II,Drugs,"Levothyroxine Sodium Tablets, Lupin, 75 mcg (0.075mg), 1000 Tablets, Rx Only, Manufactured for: Lupin
Pharmaceuticals, Inc. Baltimore, Maryland 21202 United States, Manufactured by: Lupin Limited, Pithampur
(M.P)- 454 775 INDIA, NDC# 68180-967-03","Failed Impurities/Degradation Specifications: Out of specifications result observed in the drug
substance for impurity test during 3-month long term stability study.",One US distributor in Ohio.,"Lot# LA01276, Exp Date: 07/2026"
1056,20250108,D-0173-2025,Hikma Injectables USA Inc,Terminated,Class II,Drugs,"ketamine inj 50 mg per 1 mL, Rx Only, 1 mL fill in a 3mL pre-filled syringe, For IV or IM Use, Hikma
Injectables USA Inc., 36 Stults Road, Dayton, NJ 08810, This is a Compounded Drug. Hospital/Office Use Only.
NDC 63037-137-25","Lack of Assurance of Sterility: The tamper-evident seal on several of the syringes are not
attached upon receipt of shipment.",Nationwide in the USA,"Lot number: 242560008D, Use by Date 01/15/2025; 242970002D, Use by Date 02/25/2025"
1057,20250108,D-0170-2025,GNMart LLC,Ongoing,Class I,Drugs,"FORCE FOREVER 400mg Tablets, Huesos y articulaciones sin dolor, SUPLEMENTO ALIMENTICIO, 60-count bottles","Marketed without an approved NDA/ANDA. FDA analysis found the product to be tainted with
Diclofenac and Dexamethasone.",Nationwide within the United States,"All lots, Exp. Date: 03/27/2030"
1058,20250108,D-0174-2025,Hikma Injectables USA Inc,Terminated,Class II,Drugs,"phenylephrine in 0.9% Sodium Chloride Inj, 1mg per 10 mL (100 mcg/mL), Rx only, Hikma Injectables USA Inc., 36
Stults Road, Dayton, NJ 08810, NDC 63037-173-25","Lack of Assurance of Sterility: The tamper-evident seal on several of the syringes are not
attached upon receipt of shipment.",Nationwide in the USA,"Lot number: 243120003D, Use by Date: 03/11/2025"
1059,20250108,D-0169-2025,SOMERSET THERAPEUTICS LLC,Terminated,Class III,Drugs,"Atropine Sulfate Ophthalmic Solution, USP 1%, 5 mL bottles, Rx only, Manufactured for: Somerset Therapeutics,
LLC. Somerset, NJ 08873, NDC 70069-716-01",Failed Impurities/Degradation Specifications,Nationwide within the United States,"Lot #: A240211, Exp. Date April 2026"
1060,20250108,D-0171-2025,VIONA PHARMACEUTICALS INC,Ongoing,Class II,Drugs,"Dapsone Gel 7.5%, 60 g, Rx Only, Manufactured by: Zydus Lifesciences Ltd., Ahemedabad, India, Distributed by:
Viona Pharmaceuticals Inc., Cranford, NJ 07016, NDC 72578-094-02.  packaged in an Airless pump pack",Crystallization,US Nationwide,"Lots T400513, Exp Date 02/2026; T400807, Exp Date 03/2026; T401152, Exp Date 06/2026; T401303, Exp Date 07/2026; T401304, Exp Date 07/2026; T401399, Exp Date 07/2026 & T401696 Exp Date 08/2026."
