packet_row,report_date,recall_number,recalling_firm,status,classification,product_type,product_description,reason_for_recall,distribution_pattern,code_info
501,20251231,H-0333-2026,"Wegmans Food Markets, Inc.",Terminated,Class I,Food,"Locatelli Pecorino Romano Cheese Grated (Wegmans #270010) Packaged and sold by the pound Packaged in
cylindrical clear plastic tubs with lid UPC: 2-77580-XXXXX-7, where X is the unit price of the container",Product may be contaminated with Listeria monocytogenes.,"NY, PA, MA, NJ, MD, VA, NC, DE, CT and DC",Sell-by: 11/29/25 to Sell-by: 12/07/025
502,20251231,H-0337-2026,Mellace Family Brands California Inc,Completed,Class I,Food,"1) Wegmans Deluxe Mixed Nuts, Unsalted, Net Wt. 34 oz. (964g), packaged in a plastic tub with UPC
077890421314, packed 6 tubs per case  2) Wegmans Deluxe Mixed Nuts, Unsalted, Net Wt. 11.5 oz. (326g),
packaged in a plastic bag with UPC 077890421352, packed 12 bags per case",Potential contamination with Salmonella,Distributors in PA and NY,1) Lot: 58041; Best If Used By: JUL 28 2026; Internal Product Code: 84695  2) Lot: 58171; Best If Used By: AUG 10 2026; Internal Product Code: 84696
503,20251231,H-0330-2026,The James Skinner LLC,Terminated,Class II,Food,"Publix Raspberry Coffee Cake, Net Wt. 15 oz. (425g), packaged in an aluminum foil tray and clear plastic
clamshell lid with wraparound label, UPC 0-41415-54691-2, Distributed By Publix Supermarkets, Inc. Lakeland,
FL 33802, packed 12 per case  Case label reads, in part: Maple Walnut Coffee Cake, 12 units/14 oz. each, Net
Wt. 10.5 LB (4.6 kg), UPC 100 41415 54591 2","Undeclared allergen - walnuts. Maple Walnut Coffee Cake was incorrectly labeled as Raspberry
Coffee Cake and walnuts were not declared on the label.","Product shipped to one distributor in FL: Sourcing and Distribution Specialist Winter Haven, FL 33880",Product Lot Number: 5309 Expiration Date on Case: 5 1 04 FRZ EXP 110526
504,20251231,H-0346-2026,"A New Life Herbs, LLC",Ongoing,Class II,Food,"Organic Ginger Root Herbal Supplement, Natural anti-inflammatory properties, supports gut, increases
circulation, 50 capsules/560 mg, packaged in a plastic bag",Unapproved drug claims on product labeling and product misbranded due to no Supplement Facts label,"AL, AZ, CA, GA, IL, IN, MN, MO, MS, NC, NY, TN",C132GR EXP 7/27 C131GR EXP 6/27 C121GR EXP 2/27 C115GR EXP 12/26 C108GR EXP 1/26 C93GR EXP 7/25
505,20251231,H-0344-2026,"A New Life Herbs, LLC",Ongoing,Class II,Food,"Chaga Mushroom Herbal Supplement, 1:5 Alcohol Double Extract, Supports a healthy immune system with anti-
cancer properties; packaged in a 2 oz. glass dropper bottle, UPC 284588087831",Unapproved drug claims on product labeling and product misbranded due to no Supplement Facts label,"AL, AZ, CA, GA, IL, IN, MN, MO, MS, NC, NY, TN",T720CH EXP 3/30 T656CH EXP 10/29 T618CH EXP 7/29 T568CH EXP 1/29 T532CH EXP 10/28
506,20251231,H-0329-2026,Mondelez Global Llc,Terminated,Class II,Food,"Ritz Peanut Butter Cracker Sandwiches, Net Wt. 27.6 oz.- 20 Count (20 x 1.38-oz. 6-pack carton)",Undeclared allergens (Peanut) due to mispackaging,"The recalled product was distributed to the folowing states: AL, GA, NJ, PA, NY, OK, AR, MO",Lot Codes: 44000 07584 2
507,20251231,H-0332-2026,"Karabetian Import and Distribution, Inc.",Ongoing,Class II,Food,Product: Zimi Kunefe Ready to eat (Frozen) Package Size and quantity per case: 380 g paper carton/tray - 9/case UPC: 5201592015822,partially hydrogenated oils (PHOs) in foods exported to the US,"Distributed in the following states: AZ, CA, CO, FL, GA, ND, OR,  TX, WA,  and WI.",Lot: 048025 Exp date 02/17/2026 Lot: 122025 Exp date: 11/02/2026 Lot:248025 Exp date: 05/09/2027
508,20251231,H-0331-2026,"Karabetian Import and Distribution, Inc.",Ongoing,Class II,Food,"Product: Zimi Puff Pastry French Style (frozen)  Package Size and quantity per case: 700 g paper carton -
12/case UPC: 5201592020017. Frozen.",partially hydrogenated oils (PHOs) in foods exported to the US,"Distributed in the following states: AZ, CA, CO, FL, GA, ND, OR,  TX, WA,  and WI.",Lot: 122025 Exp date: 11/02/2026 Lot: 083025 Exp date: 09/24/2026
509,20251231,H-0335-2026,First & Last Tavern,Ongoing,Class II,Food,"First & Last Tavern Marinara Sauce (tomato & basil) 26 FL OZ (1 lb, 10 oz) 737g",May be contaminated with Clostridium botulinum,"CT, MA",Expiration/Use By: 09/26
510,20251231,H-0348-2026,"A New Life Herbs, LLC",Ongoing,Class II,Food,"Sinus Cap Herbal Supplement, Herbs containing antibiotic, drying, expectorant, and emollient properties,
Fenugreek, Thyme, Oregon Grape Root, & Bentonite Clay, 50 capsules/510 mg; packaged in a plastic bag",Unapproved drug claims on product labeling and product misbranded due to no Supplement Facts label,"AL, AZ, CA, GA, IL, IN, MN, MO, MS, NC, NY, TN",C136SC EXP 10/27 C128SC EXP 5/27 C110SC EXP 9/26 C109SC EXP 4/26 C102SC EXP 10/25
511,20251231,H-0340-2026,"A New Life Herbs, LLC",Ongoing,Class II,Food,"Anti-virus Herbal Supplement, 1:5 Alcohol Tincture, Helps to stop viral replication, expectorant properties,
Contains: Forsethia blossoms, Sumac berries, Pine needles; packaged in a 2 oz. glass dropper bottle, UPC
283162814429",Unapproved drug claims on product labeling and product misbranded due to no Supplement Facts label,"AL, AZ, CA, GA, IL, IN, MN, MO, MS, NC, NY, TN",T801AV EXP 9/30 T686AV EXP 12/29 T636AV EXP 9/29 T564AV EXP 9/28
512,20251231,H-0338-2026,Silvestri Sweets Inc dba Carousel Candies,Terminated,Class I,Food,"Choceur Pecan Cranberry & Cinnamon Holiday Bark. Standup Pouch Bag. 5 oz. (142g). UPC: 4069365095829.
Wholesale unit is split case, with 9 of each item per case.",Undeclared wheat,The recalled items were distributed nationwide through Aldi grocery stores.,Lot #: 29225 Best By 08/2026  Lot #: 28525  Best By 08/2026 Lot #: 29925  Best By 08/2026 Lot #: 30625  Best By 09/2026
513,20251231,H-0327-2026,Bell Industries LLC,Ongoing,Class II,Food,Zen Cleanse Blend herbal tea; .95 oz (27g) pouch; 18 pouches/box UPC: 819005011504,Potential Salmonella contamination,"Product was distributed to 3 customers located in MA, TX WI. Product was not made available to the public and did not make it to retail shelves.",Lot: A8205 Expiration date: 11/2028
514,20251231,H-0345-2026,"A New Life Herbs, LLC",Ongoing,Class II,Food,"Ear Drops Herbal Supplement, Mullein flower alcohol tincture 1:5, Pain relieving and antibiotic properties,
packaged in a 0.5 oz. plastic dropper bottle",Unapproved drug claims on product labeling and product misbranded due to no Supplement Facts label,"AL, AZ, CA, GA, IL, IN, MN, MO, MS, NC, NY, TN",T553MF EXP 12/28
515,20251231,H-0326-2026,Lil Turtles LLC,Terminated,Class II,Food,"Grandma Belle's Tomato Basil Soup, Net Wt. 17 oz. (482g), packaged in a glass jar, UPC 810084612293, Made By:
Lil' Turtles 504 North Ray Street, Baltic, Ohio 43804, packed 12 jars per case",Undeclared allergen - milk,"IA, IL, IN, KS, KY, MN, MO, MS, NY, OH, OK, PA, UT, WI",Product Code: 21495 Best By Date: 09-22-2024 through 06-03-2028
516,20251231,H-0336-2026,First & Last Tavern,Ongoing,Class II,Food,"First & Last Tavern Puttanesca Sauce (olives, capers, hot peppers) 26 FL OZ (1 lb, 10 oz) 737g",May be contaminated with Clostridium botulinum,"CT, MA",Expiration/Use By: 09/26
517,20251231,H-0347-2026,"A New Life Herbs, LLC",Ongoing,Class II,Food,"Pain Away Herbal Supplement, Analgesic & anti-inflammatory properties, Wood Betony & White Willow in vegetable
glycerin, packaged in a 4.5 oz. glass bottle or 9 oz. glass bottle, UPC 231946534537",Unapproved drug claims on product labeling and product misbranded due to no Supplement Facts label,"AL, AZ, CA, GA, IL, IN, MN, MO, MS, NC, NY, TN",E170PA EXP 7/28 E174PA EXP 9/28 E161PA EXP 12/27 E146PA EXP 12/26 E123PA EXP 7/26 E110PA EXP 10/25 E93PA EXP 2/25
518,20251231,H-0343-2026,"A New Life Herbs, LLC",Ongoing,Class II,Food,"Boswellia Herbal Supplement, 1:5 Alcohol Double Extract, Extracted from Frankincense with powerful anti-
inflammatory properties, useful for pain & inflammation; packaged in a 2 oz. glass dropper bottle, UPC
284260392420",Unapproved drug claims on product labeling and product misbranded due to no Supplement Facts label,"AL, AZ, CA, GA, IL, IN, MN, MO, MS, NC, NY, TN",T848B EXP 11/30 T836B EXP 10/30 T808B EXP 9/30 T771B EXP 7/30 T723B EXP 3/30 T696B EXP 1/29 T655B EXP 10/29 T594B EXP 4/29 T536B EXP 10/28
