keyword_id,ad_group,keyword,match_type,impressions_7d,clicks_7d,cost_cny_7d,conversions_7d,revenue_cny_7d,current_bid_cny,quality_score
KW01,AG01,收纳箱 大号,exact,3500,280,420.00,28,1680.00,1.50,8
KW02,AG01,衣柜收纳盒,phrase,2800,210,315.00,15,900.00,1.50,7
KW03,AG01,桌面收纳,exact,2100,168,252.00,21,840.00,1.50,9
KW04,AG01,鞋柜 收纳,phrase,1400,98,147.00,7,280.00,1.50,6
KW05,AG01,收纳神器 抖音同款,broad,4900,539,808.50,3,120.00,1.50,3
KW06,AG01,化妆品收纳,phrase,2100,147,220.50,14,560.00,1.50,7
KW07,AG01,行李箱收纳包,exact,1400,84,126.00,3,90.00,1.50,5
KW08,AG02,厨房置物架,exact,4200,336,672.00,42,2520.00,2.00,9
KW09,AG02,调料架 旋转,phrase,1400,98,196.00,10,500.00,2.00,7
KW10,AG02,沥水架 厨房,exact,2800,336,672.00,4,160.00,2.00,4
KW11,AG02,冰箱收纳盒 食品级,exact,3500,245,490.00,30,1500.00,2.00,8
KW12,AG02,垃圾袋 家用 加厚,broad,7000,420,840.00,14,280.00,2.00,4
KW13,AG02,保鲜盒套装,exact,2100,168,336.00,21,1050.00,2.00,8
KW14,AG02,菜板架 壁挂,phrase,350,21,42.00,2,80.00,2.00,6
KW15,AG03,浴室置物架 免打孔,exact,3500,280,420.00,35,1750.00,1.50,9
KW16,AG03,毛巾架 太空铝,phrase,2100,147,220.50,12,480.00,1.50,7
KW17,AG03,马桶刷 硅胶,exact,1750,105,157.50,7,210.00,1.50,6
KW18,AG03,浴室防滑垫,phrase,2800,196,294.00,7,175.00,1.50,5
KW19,AG03,好居家旗舰店,brand,6000,420,630.00,10,400.00,1.50,10
KW20,AG03,地漏 防臭 硅胶,exact,2100,252,378.00,2,80.00,1.50,3
