week_iso,slug,brand,value,partial_data
2025-05-18,airfryer,cosori,0,0
2025-05-25,airfryer,cosori,0,0
2025-06-01,airfryer,cosori,0,0
2025-06-08,airfryer,cosori,0,0
2025-06-15,airfryer,cosori,0,0
2025-06-22,airfryer,cosori,0,0
2025-06-29,airfryer,cosori,0,0
2025-07-06,airfryer,cosori,0,0
2025-07-13,airfryer,cosori,0,0
2025-07-20,airfryer,cosori,0,0
2025-07-27,airfryer,cosori,0,0
2025-08-03,airfryer,cosori,4,0
2025-08-10,airfryer,cosori,4,0
2025-08-17,airfryer,cosori,0,0
2025-08-24,airfryer,cosori,0,0
2025-08-31,airfryer,cosori,0,0
2025-09-07,airfryer,cosori,0,0
2025-09-14,airfryer,cosori,0,0
2025-09-21,airfryer,cosori,0,0
2025-09-28,airfryer,cosori,2,0
2025-10-05,airfryer,cosori,0,0
2025-10-12,airfryer,cosori,0,0
2025-10-19,airfryer,cosori,4,0
2025-10-26,airfryer,cosori,3,0
2025-11-02,airfryer,cosori,0,0
2025-11-09,airfryer,cosori,0,0
2025-11-16,airfryer,cosori,0,0
2025-11-23,airfryer,cosori,0,0
2025-11-30,airfryer,cosori,2,0
2025-12-07,airfryer,cosori,0,0
2025-12-14,airfryer,cosori,2,0
2025-12-21,airfryer,cosori,3,0
2025-12-28,airfryer,cosori,0,0
2026-01-04,airfryer,cosori,0,0
2026-01-11,airfryer,cosori,0,0
2026-01-18,airfryer,cosori,0,0
2026-01-25,airfryer,cosori,0,0
2026-02-01,airfryer,cosori,0,0
2026-02-08,airfryer,cosori,0,0
2026-02-15,airfryer,cosori,0,0
2026-02-22,airfryer,cosori,0,0
2026-03-01,airfryer,cosori,0,0
2026-03-08,airfryer,cosori,0,0
2026-03-15,airfryer,cosori,0,0
2026-03-22,airfryer,cosori,4,0
2026-03-29,airfryer,cosori,13,0
2026-04-05,airfryer,cosori,18,0
2026-04-12,airfryer,cosori,16,0
2026-04-19,airfryer,cosori,11,0
2026-04-26,airfryer,cosori,8,0
2026-05-03,airfryer,cosori,6,0
2026-05-10,airfryer,cosori,10,0
2026-05-17,airfryer,cosori,13,1
2025-05-18,airfryer,dash air fryer,0,0
2025-05-25,airfryer,dash air fryer,0,0
2025-06-01,airfryer,dash air fryer,0,0
2025-06-08,airfryer,dash air fryer,0,0
2025-06-15,airfryer,dash air fryer,0,0
2025-06-22,airfryer,dash air fryer,0,0
2025-06-29,airfryer,dash air fryer,0,0
2025-07-06,airfryer,dash air fryer,0,0
2025-07-13,airfryer,dash air fryer,0,0
2025-07-20,airfryer,dash air fryer,0,0
2025-07-27,airfryer,dash air fryer,0,0
2025-08-03,airfryer,dash air fryer,0,0
2025-08-10,airfryer,dash air fryer,0,0
2025-08-17,airfryer,dash air fryer,0,0
2025-08-24,airfryer,dash air fryer,0,0
2025-08-31,airfryer,dash air fryer,0,0
2025-09-07,airfryer,dash air fryer,0,0
2025-09-14,airfryer,dash air fryer,0,0
2025-09-21,airfryer,dash air fryer,0,0
2025-09-28,airfryer,dash air fryer,0,0
